user testing,input,deduccion
Franco,10bet.com,GMB
Franco,12betng.com,GMB
Franco,1337x.st,FILE
Franco,138sungame.com,HOST
Franco,188bet.com,GMB
Franco,18bet.com,GMB
Franco,1wdqe.com,GMB
Franco,1wesa.com,GMB
Franco,1wijl.com,GMB
Franco,1win.com,GMB
Franco,1wqamf.win,GMB
Franco,1wqsg.com,GMB
Franco,1wvixw.life,GMB
Franco,1xbet.com,GMB
Franco,1xslot.com,GMB
Franco,1xslots-casino.com.ar,GMB
Franco,20bet.ar,GMB
Franco,20bet.com,GMB
Franco,21bet.com,GMB
Franco,21casino.com,GMB
Franco,22bet.com,GMB
Franco,22bet.online,GMB
Franco,24ktgoldcasino.com,GMB
Franco,24live.pro,GMB
Franco,24win.com,GMB
Franco,30bet.com,GMB
Franco,32red.com,GMB
Franco,377bet.com,GMB
Franco,47millones.com,NOACCESIBLE
Franco,4chan.org,MMED
Franco,5bonuses.com,NOACCESIBLE
Franco,6686vn3.com,MISC
Franco,6topoderweb.com,NOACCESIBLE
Franco,777.com,GMB
Franco,777dragoncasino.com,GMB
Franco,7bitcasino.com,GMB
Franco,7spins.com,GMB
Franco,7sultanscasino.com,GMB
Franco,888.com,GMB
Franco,888.es,GMB
Franco,888casino.com,GMB
Franco,888casino.es,GMB
Franco,888games.com,GMB
Franco,888ladies.com,GMB
Franco,888poker.com,GMB
Franco,888poker.es,GMB
Franco,888sport.com,GMB
Franco,888sport.es,GMB
Franco,888sport.escasino.betsson.com,GMB
Franco,89.com,MISC
Franco,8kun.top,MMED
Franco,8xbet2.com,GMB
Franco,99cargo.com.ar,NOACCESIBLE
Franco,aanonimos.org.ve,NOACCESIBLE
Franco,abcunderwear.com,MISC
Franco,abelsierramadero.com,NOACCESIBLE
Franco,abs.twimg.com,NOACCESIBLE
Franco,aconcaguapoker.es,GMB
Franco,action3.gameassists.co.uk,GMB
Franco,admiralbet.es,GMB
Franco,af.mil,NOACCESIBLE
Franco,aiv.org.ve,REL
Franco,ajugar.pro,GMB
Franco,aladdinsgoldcasino.com,GMB
Franco,albedrio.org,GMB
Franco,allbritishcasino.com,GMB
Franco,alljackpotcasino.com,NOACCESIBLE
Franco,alljackpotscasino.com,GMB
Franco,allslotscasino.com,GMB
Franco,allspins.com,GMB
Franco,alt.com,DATE
Franco,america777.com,GMB
Franco,amphetamines.com,MISC
Franco,anarchycasino.com,GMB
Franco,angliabet.com,GMB
Franco,apostamos.net,GMB
Franco,app.magtv235.com,NOACCESIBLE
Franco,appzplanet.com,MISC
Franco,apuesta24.com,GMB
Franco,apuestars.com,GMB
Franco,apuestas-deportivas.es,GMB
Franco,apuestasdeportivas.com,GMB
Franco,apuestashouse.com,GMB
Franco,apuestaya.lat,GMB
Franco,apuestaya.net,GMB
Franco,apuesteenlinea.com,GMB
Franco,apurogol.info,MMED
Franco,ar-1xbet.com,GMB
Franco,ar.1xbet.com,GMB
Franco,ar.spingol.com,NOACCESIBLE
Franco,arc-international.net,HUMR
Franco,arg-1xbet.com,GMB
Franco,army.mil,NOACCESIBLE
Franco,asesdelnorte.com,NOACCESIBLE
Franco,askgamblers.com,GMB
Franco,aspers.com,NOACCESIBLE
Franco,astalavista.box.sk,NOACCESIBLE
Franco,avn.info.ve,NEWS
Franco,awrora.casino,GMB
Franco,azarlatino.com,NOACCESIBLE
Franco,aztec3.gameassists.co.uk,GMB
Franco,b7casino.com,GMB
Franco,bacuba.org,ENV
Franco,ballroom3.gameassists.co.uk,GMB
Franco,bbets.com,HOST
Franco,bc.game,GMB
Franco,bcgame.top,GMB
Franco,bdmbet.com,GMB
Franco,beeg.com,GMB
Franco,bestingame.it,GMB
Franco,bet-52.com,GMB
Franco,bet-at.eu,GMB
Franco,bet.pt,GMB
Franco,bet1234.lat,GMB
Franco,bet22.lat,GMB
Franco,bet2fun9.online,GMB
Franco,bet30.casino,GMB
Franco,bet30.club,GMB
Franco,bet30.es,GMB
Franco,bet30.lat,GMB
Franco,bet30.win,GMB
Franco,bet300.pro,GMB
Franco,bet32.co,GMB
Franco,bet32.lat,GMB
Franco,bet3218.net,GMB
Franco,bet365.com,GMB
Franco,bet593.ec,GMB
Franco,bet71.lat,GMB
Franco,bet777.es,GMB
Franco,bet91.me,GMB
Franco,bet91.pro,GMB
Franco,betadonis.com,GMB
Franco,betapuesta.com,GMB
Franco,betastars.com,GMB
Franco,betbord.biz,GMB
Franco,betboro.com,GMB
Franco,betcasinograndbay.com,GMB
Franco,betchain.com,GMB
Franco,betchan.com,GMB
Franco,betclic.com,GMB
Franco,betcoin.pro,NOACCESIBLE
Franco,betcris.com,GMB
Franco,betebet75.com,GMB
Franco,betelite.com,GMB
Franco,betesporte.com,GMB
Franco,betfair.com,GMB
Franco,betfred.com,GMB
Franco,betfree.com,GMB
Franco,betfury.com,GMB
Franco,betgain.bet,GMB
Franco,betika.com,GMB
Franco,betiro.com,GMB
Franco,betkwiff.com,GMB
Franco,betlive.com,GMB
Franco,betmclean.com,GMB
Franco,betmotion.com,GMB
Franco,betmotion.com.co,GMB
Franco,betmotion.es,GMB
Franco,betonline-ok.com,GMB
Franco,betonline.ag,GMB
Franco,betonred.com,GMB
Franco,betowi.com,GMB
Franco,betplatino.com,GMB
Franco,betrally.com,GMB
Franco,betrebels.com,GMB
Franco,betsafe.com,GMB
Franco,betser.com,GMB
Franco,betsolino.com,GMB
Franco,betsonic.com,GMB
Franco,betsonn.com,GMB
Franco,betspil.dk,GMB
Franco,betspino.com,GMB
Franco,betsson.com,GMB
Franco,betsson.uy,GMB
Franco,betstars.com,GMB
Franco,betswap.gg,GMB
Franco,bettycasino.space,GMB
Franco,betvoyager.com,GMB
Franco,betway.com,GMB
Franco,betway.es,GMB
Franco,betway.lat,GMB
Franco,betwinenjoyoficial.com,GMB
Franco,betwinner.com,GMB
Franco,betwinner1.com,GMB
Franco,betybet.com,GMB
Franco,betzard.com,GMB
Franco,bglad.com,PORN
Franco,bgo.com,ECON
Franco,bicommunitynews.co.uk,LGBT
Franco,bigfishgames.com,GAME
Franco,bigsala.com,NOACCESIBLE
Franco,bikinislots.com,GMB
Franco,bimsports.com,HOST
Franco,bingo-rumba.com,HOST
Franco,bingo.com,NOACCESIBLE
Franco,binguez.com,GMB
Franco,bitbucket.org,COMM 
Franco,bitcasino.io,GMB
Franco,bitcoin.sipa.be,ECOM
Franco,bitstarz.com,GMB
Franco,bitz8.vip,GMB
Franco,biz.ly,HOST
Franco,bizzocasino.com,GMB
Franco,blackhat.be,HOST
Franco,blackjackballroom.es,GMB
Franco,blogeasy.com,HOST
Franco,bm.bet,GMB
Franco,bodegonline.net,COMM 
Franco,bodog.com,GMB
Franco,bodog.eu,GMB
Franco,bogus.d2a8n1.rootcanary.net,NOACCESIBLE
Franco,bombastic.com,GMB
Franco,boomerang-bet.com,GMB
Franco,boomproxy.com,ERR_TIMED_OUT
Franco,botemania.es,GMB
Franco,bovada.lv,GMB
Franco,box24casino.com,GMB
Franco,boylesports.com,GMB
Franco,bravoporn.com,PORN
Franco,bravotube.net,PORN
Franco,bravotube.tv,PORN
Franco,breached.vc,MISC
Franco,bronzecasino.com,NOACCESIBLE
Franco,bubblesbet.com,GMB
Franco,buckybingo.co.uk,GMB
Franco,burancasino.com,GMB
Franco,buydutchseeds.com,ALDR
Franco,buzzluck.com,GMB
Franco,bwin.com,GMB
Franco,bwin.es,GMB
Franco,cablegratis.online,MMED 
Franco,cablegratistv.online,MMED 
Franco,cabletvhd.xyz,MMED 
Franco,cactus.casino,GMB
Franco,caesarscasino.com,GMB
Franco,caibo.fun,MISC
Franco,caiv.org,POLR
Franco,caliente.mx,GMB
Franco,camelbet.me,GMB
Franco,camelbet.vip,HOST
Franco,camelbet2.com,NOACCESIBLE
Franco,campeonbet.com,NOACCESIBLE
Franco,canales.online,NOACCESIBLE
Franco,canbet.com,HOST
Franco,canna.to,FILE
Franco,cannabisn24.com,ALDR
Franco,cannaweed.com,ALDR
Franco,captaincooks3.gameassists.co.uk,GMB
Franco,caraotadigital.xyz,HOST
Franco,cardschat.com,GMB
Franco,carltonbingo.com,GMB
Franco,cashed.com,GMB
Franco,cashmio.com,GMB
Franco,cashpotcasino.com,GMB
Franco,cashroyalok.com,GMB
Franco,casibet.io,GMB
Franco,casibet.pro,GMB
Franco,casigo.com,GMB
Franco,casimba.com,GMB
Franco,casin0.chan2.com,GMB
Franco,casinado.com,GMB
Franco,casinia.com,GMB
Franco,casino-atlanta.com,NOACCESIBLE
Franco,casino-estrellas.com,GMB
Franco,casino-zeus.club,GMB
Franco,casino-zeus.com,GMB
Franco,casino-zeus.ola.click,GMB
Franco,casino.8xwins.com,GMB
Franco,casino.com,GMB
Franco,casino.mx,GMB
