Dominio,Status,Bloqueado,IPs_Resueltas
rojadirectatv.tv,NOERROR,No,"190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
rojadirecta.me,NOERROR,No,"190.64.84.30, 190.64.84.30, 190.64.84.30"
www.goldenpalace.com,NOERROR,No,"190.64.84.30, 127.0.0.1, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.gambling.com,NOERROR,No,"190.64.84.30, 127.0.0.1, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.europacasino.com,NOERROR,No,"190.64.84.30, 127.0.0.1, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.eurogrand.com,NOERROR,No,"190.64.84.30, 127.0.0.1, 190.64.84.30, 190.64.84.30"
www.casino.com,NOERROR,No,"190.64.84.30, 127.0.0.1, 190.64.84.30, 190.64.84.30"
www.casinotropez.com,NOERROR,No,"190.64.84.30, 127.0.0.1, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.betfair.com,NOERROR,No,"190.64.84.30, 127.0.0.1, 190.64.84.30, 190.64.84.30"
www.888casino.com,NOERROR,No,"190.64.84.30, 127.0.0.1, 190.64.84.30, 190.64.84.30"
www.usacasino.com,NOERROR,No,"190.64.84.30, 217.19.248.132, 190.64.84.30, 190.64.84.30"
www.sportingbet.com,NOERROR,No,"190.64.84.30, 127.0.0.1, 190.64.84.30, 190.64.84.30"
www.spinpalace.com,NOERROR,No,"190.64.84.30, 127.0.0.1, 190.64.84.30, 190.64.84.30"
www.pokerstars.com,NOERROR,No,"190.64.84.30, 127.0.0.1, 190.64.84.30, 190.64.84.30"
www.onlinegambling.com,NOERROR,No,"190.64.84.30, 127.0.0.1, 190.64.84.30, 190.64.84.30"
www.wetplace.com,NOERROR,No,"190.64.84.30, 162.210.196.167, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
ilga.org,NOERROR,No,"190.64.84.30, 104.26.2.128, 104.26.3.128, 172.67.69.48, 190.64.84.30, 190.64.84.30, 190.64.84.30"
8kun.top,NOERROR,No,"190.64.84.30, 77.73.69.98, 77.73.68.181, 135.148.43.6, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
archive.is,UNKNOWN,No,"190.64.84.30, 190.64.84.30, 190.64.84.30"
www.privacyinternational.org,NOERROR,No,"190.64.84.30, 104.22.20.93, 172.67.5.244, 104.22.21.93, 190.64.84.30, 190.64.84.30"
www.nifty.org,NOERROR,No,"190.64.84.30, 67.205.61.97, 190.64.84.30, 190.64.84.30"
www.hrcr.org,NOERROR,No,"190.64.84.30, 104.21.4.155, 172.67.132.57, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.imf.org,NOERROR,No,"190.64.84.30, 2.23.164.144, 2.23.164.150, 190.64.84.30, 190.64.84.30"
www.dailysabah.com,NOERROR,No,"190.64.84.30, 18.154.227.58, 18.154.227.76, 18.154.227.11, 18.154.227.28, 190.64.84.30, 190.64.84.30"
diariolajuventud.com,NOERROR,No,"190.64.84.30, 104.21.15.100, 172.67.162.39, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
archive.ph,NOERROR,No,"190.64.84.30, 147.45.179.37, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.securityfocus.com,NOERROR,No,"190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.stratcom.mil,UNKNOWN,No,190.64.84.30
www.guildwars.com,NOERROR,No,"190.64.84.30, 35.169.251.100, 23.23.227.177, 190.64.84.30, 190.64.84.30"
www.dailymail.co.uk,NOERROR,No,"190.64.84.30, 2.21.48.221, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.honduras.com,UNKNOWN,No,190.64.84.30
wikidata.org,NOERROR,No,"190.64.84.30, 195.200.68.224, 190.64.84.30, 190.64.84.30"
www.itsyoursexlife.com,UNKNOWN,No,190.64.84.30
www.jsf.mil,NOERROR,No,"190.64.84.30, 140.19.248.11, 190.64.84.30, 190.64.84.30"
dailystormer.name,NOERROR,No,"190.64.84.30, 104.21.38.178, 172.67.137.29, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.pandora.com,NOERROR,No,"190.64.84.30, 199.116.164.229, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.ruf-ch.org,NOERROR,No,"190.64.84.30, 104.21.16.1, 104.21.96.1, 104.21.112.1, 104.21.64.1, 104.21.32.1, 104.21.80.1, 104.21.48.1, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
ikhwanonline.com,UNKNOWN,No,"190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
xe.com,UNKNOWN,No,190.64.84.30
www.bbm.com,NOERROR,No,"190.64.84.30, 74.82.70.131, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.rt.com,NOERROR,No,"190.64.84.30, 91.215.41.4, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.ecequality.org,NOERROR,No,"190.64.84.30, 13.248.243.5, 76.223.105.230, 190.64.84.30, 190.64.84.30"
www.mnr.gov.cn,UNKNOWN,No,"190.64.84.30, 190.64.84.30"
kickassclassical.com,NOERROR,No,"190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.getrevue.co,NOERROR,No,"190.64.84.30, 190.64.84.30, 190.64.84.30"
eltelescopio.com.uy,NOERROR,No,"190.64.84.30, 75.102.58.134, 190.64.84.30, 190.64.84.30"
ladiaria.com.uy,NOERROR,No,"190.64.84.30, 172.67.73.53, 104.26.12.4, 104.26.13.4, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
plus.im,UNKNOWN,No,"190.64.84.30, 190.64.84.30"
www.xroxy.com,NOERROR,No,"190.64.84.30, 108.61.40.123, 108.61.40.125, 190.64.84.30, 190.64.84.30"
www.thegailygrind.com,NOERROR,No,"190.64.84.30, 147.79.105.152, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.religioustolerance.org,UNKNOWN,No,190.64.84.30
www.ned.org,NOERROR,No,"190.64.84.30, 23.185.0.4, 190.64.84.30, 190.64.84.30"
www.nclrights.org,NOERROR,No,"190.64.84.30, 141.193.213.11, 141.193.213.10, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.megaproxy.com,NOERROR,No,"190.64.84.30, 52.70.232.188, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.lightsailvpn.com,UNKNOWN,No,190.64.84.30
www.lgbtimontevideo2016.org,NOERROR,No,"190.64.84.30, 213.158.85.35, 190.64.84.30, 190.64.84.30"
www.jhr.ca,NOERROR,No,"190.64.84.30, 104.21.96.1, 104.21.48.1, 104.21.64.1, 104.21.112.1, 104.21.16.1, 104.21.32.1, 104.21.80.1, 190.64.84.30, 190.64.84.30"
www.infomigrants.net,NOERROR,No,"190.64.84.30, 104.104.25.226, 190.64.84.30, 190.64.84.30"
www.ifge.org,NOERROR,No,"190.64.84.30, 66.96.133.1, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.http-tunnel.com,UNKNOWN,No,190.64.84.30
www.haaretz.com,NOERROR,No,"190.64.84.30, 151.101.218.217, 190.64.84.30, 190.64.84.30"
www.guerrillagirls.com,NOERROR,No,"190.64.84.30, 198.49.23.144, 198.49.23.145, 198.185.159.144, 198.185.159.145, 190.64.84.30, 190.64.84.30"
www.grindr.com,NOERROR,No,"190.64.84.30, 104.16.235.5, 104.16.234.5, 190.64.84.30, 190.64.84.30"
www.glil.org,NOERROR,No,"190.64.84.30, 103.224.182.253, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.gearthblog.com,NOERROR,No,"190.64.84.30, 35.208.230.52, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.gayscape.com,NOERROR,No,"190.64.84.30, 204.8.234.161, 190.64.84.30, 190.64.84.30"
www.freespeechcoalition.com,NOERROR,No,"190.64.84.30, 104.21.66.160, 172.67.205.109, 190.64.84.30, 190.64.84.30"
www.freespeech.com,NOERROR,No,"190.64.84.30, 104.26.4.73, 172.67.73.106, 104.26.5.73, 190.64.84.30, 190.64.84.30"
www.freeexpression.org,NOERROR,No,"190.64.84.30, 67.205.3.171, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.eurobicon.org,NOERROR,No,"190.64.84.30, 168.119.181.46, 190.64.84.30, 190.64.84.30"
www.dopplr.com,NOERROR,No,"190.64.84.30, 50.87.144.195, 190.64.84.30, 190.64.84.30"
www.csidonline.org,NOERROR,No,"190.64.84.30, 188.165.51.93, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.bicommunitynews.co.uk,UNKNOWN,No,"190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.anonymizer.ru,UNKNOWN,No,"190.64.84.30, 190.64.84.30"
ultrasurf.us,NOERROR,No,"190.64.84.30, 104.21.62.172, 172.67.137.144, 190.64.84.30, 190.64.84.30"
sci.hubg.org,NOERROR,No,"190.64.84.30, 72.52.178.23, 190.64.84.30, 190.64.84.30, 190.64.84.30"
medpot.net,NOERROR,No,"190.64.84.30, 104.21.51.243, 172.67.192.62, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.petside.com,UNKNOWN,No,190.64.84.30
www.persecution.org,NOERROR,No,"190.64.84.30, 104.26.10.41, 104.26.11.41, 172.67.69.69, 190.64.84.30, 190.64.84.30"
www.judaismconversion.org,NOERROR,No,"190.64.84.30, 68.66.216.47, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.jesussaves.cc,UNKNOWN,No,"190.64.84.30, 190.64.84.30"
www.fark.com,NOERROR,No,"190.64.84.30, 172.67.203.12, 104.21.82.150, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.exmormon.org,NOERROR,No,"190.64.84.30, 204.238.168.42, 190.64.84.30, 190.64.84.30"
www.earthaction.org,NOERROR,No,"190.64.84.30, 104.18.118.121, 104.18.117.121, 104.18.116.121, 104.18.115.121, 104.18.114.121, 190.64.84.30, 190.64.84.30"
www.copticchurch.net,NOERROR,No,"190.64.84.30, 104.21.67.237, 172.67.182.247, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.cleanwateraction.org,NOERROR,No,"190.64.84.30, 23.185.0.3, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.autistici.org,UNKNOWN,No,"190.64.84.30, 190.64.84.30, 190.64.84.30"
noblogs.org,NOERROR,No,"190.64.84.30, 198.167.222.108, 93.190.126.19, 82.94.249.234, 190.64.84.30, 190.64.84.30"
www.mediafire.com,NOERROR,No,"190.64.84.30, 104.17.150.117, 104.17.151.117, 190.64.84.30, 190.64.84.30"
www.frc.org,NOERROR,No,"190.64.84.30, 64.196.237.41, 190.64.84.30, 190.64.84.30"
www.formercatholic.com,NOERROR,No,"190.64.84.30, 216.239.32.21, 190.64.84.30, 190.64.84.30"
www.atheists.org,NOERROR,No,"190.64.84.30, 104.26.4.236, 104.26.5.236, 172.67.74.103, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
dns.google,NOERROR,No,"190.64.84.30, 8.8.4.4, 8.8.8.8, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
doh.centraleu.pi-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,UNKNOWN,No,"190.64.84.30, 190.64.84.30"
www.phenoelit.org,SERVFAIL,Sí,"190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
unioncivica.org.uy,SERVFAIL,Sí,"190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.metacafe.com,SERVFAIL,Sí,"190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.appzplanet.com,NOERROR,No,"190.64.84.30, 185.107.56.192, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.sbs.com.au/language/coronavirus?cid=infocus,UNKNOWN,No,"190.64.84.30, 190.64.84.30, 190.64.84.30"
hackerspaces.org,NOERROR,No,"190.64.84.30, 212.12.52.48, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.kcna.kp,UNKNOWN,No,190.64.84.30
www.solicitorsfromhell.com,NOERROR,No,"190.64.84.30, 76.223.54.146, 13.248.169.48, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.sex.com,NOERROR,No,"190.64.84.30, 3.219.221.100, 35.168.96.228, 34.232.198.165, 190.64.84.30, 190.64.84.30"
nordvpn.com,NOERROR,No,"190.64.84.30, 104.19.159.190, 104.16.208.203, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.xinhuanet.com,NOERROR,No,"190.64.84.30, 98.96.212.203, 169.150.230.100, 190.64.84.30, 190.64.84.30"
www.gawker.com,NOERROR,No,"190.64.84.30, 18.230.27.1, 18.229.23.62, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
social.undernet.uy,UNKNOWN,No,190.64.84.30
kiwifarms.net,NOERROR,No,"190.64.84.30, 185.225.114.106, 179.43.172.163, 185.231.102.62, 207.5.194.234, 212.23.222.98, 190.64.84.30, 190.64.84.30"
prism-break.org,NOERROR,No,"190.64.84.30, 35.185.44.232, 190.64.84.30, 190.64.84.30"
guardster.com,NOERROR,No,"190.64.84.30, 172.67.150.134, 104.21.30.39, 190.64.84.30, 190.64.84.30"
freedns.afraid.org,NOERROR,No,"190.64.84.30, 69.42.215.252, 190.64.84.30, 190.64.84.30"
banthis.tv,NOERROR,No,"190.64.84.30, 104.21.76.209, 172.67.201.14, 190.64.84.30, 190.64.84.30"
ddosecrets.com,NOERROR,No,"190.64.84.30, 104.26.3.199, 172.67.75.15, 104.26.2.199, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.acj-ymca.org,NOERROR,No,"190.64.84.30, 199.59.243.228, 190.64.84.30, 190.64.84.30"
imo.im,NOERROR,No,"190.64.84.30, 83.229.98.15, 83.229.98.31, 190.64.84.30, 190.64.84.30"
www.ntv.ru,NOERROR,No,"190.64.84.30, 185.129.100.162, 185.129.100.166, 190.64.84.30, 190.64.84.30"
www.cseindia.org,NOERROR,No,"190.64.84.30, 3.6.12.203, 190.64.84.30, 190.64.84.30"
www.islamdoor.com,SERVFAIL,Sí,"190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.on-instant.com,NOERROR,No,"190.64.84.30, 193.3.19.74, 190.64.84.30, 190.64.84.30"
globalpressjournal.com,NOERROR,No,"190.64.84.30, 104.21.85.93, 172.67.204.63, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.mp3.com,NOERROR,No,"190.64.84.30, 3.33.139.32, 190.64.84.30, 190.64.84.30"
www.rarbg.to,NOERROR,No,"190.64.84.30, 104.21.96.1, 104.21.48.1, 104.21.16.1, 104.21.112.1, 104.21.32.1, 104.21.64.1, 104.21.80.1, 190.64.84.30, 190.64.84.30"
libgen.me,NOERROR,No,"190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
secondlife.com,NOERROR,No,"190.64.84.30, 179.31.48.145, 179.31.48.147, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.oneworld.net,NOERROR,No,"190.64.84.30, 66.45.226.139, 190.64.84.30, 190.64.84.30"
www.mail2web.com,NOERROR,No,"190.64.84.30, 66.113.135.6, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
i2pforum.net,UNKNOWN,No,190.64.84.30
hola.org,NOERROR,No,"190.64.84.30, 54.225.121.9, 107.22.193.119, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
shamash.org,UNKNOWN,No,"190.64.84.30, 190.64.84.30, 190.64.84.30"
www.bittornado.com,NOERROR,No,"190.64.84.30, 23.237.152.122, 190.64.84.30, 190.64.84.30"
www.photobucket.com,NOERROR,No,"190.64.84.30, 3.167.99.55, 3.167.99.86, 3.167.99.83, 3.167.99.99, 190.64.84.30, 190.64.84.30"
www.oovoo.com,NOERROR,No,"190.64.84.30, 172.67.176.162, 104.21.80.90, 190.64.84.30, 190.64.84.30"
www.netflix.com,NOERROR,No,"190.64.84.30, 3.211.157.115, 54.160.93.182, 3.225.92.8, 190.64.84.30, 190.64.84.30"
timesofindia.indiatimes.com,NOERROR,No,"190.64.84.30, 200.40.28.3, 200.40.28.38, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.cis.minsk.by,NOERROR,No,"190.64.84.30, 195.222.71.116, 190.64.84.30, 190.64.84.30, 190.64.84.30"
cf-ipfs.com,NOERROR,No,"190.64.84.30, 190.64.84.30, 190.64.84.30"
www.dailymotion.com,NOERROR,No,"190.64.84.30, 34.95.220.168, 190.64.84.30, 190.64.84.30"
www.kabobfest.com,NOERROR,No,"190.64.84.30, 31.220.81.116, 190.64.84.30, 190.64.84.30"
mask.icloud.com,NOERROR,No,"190.64.84.30, 172.224.17.8, 172.224.17.6, 172.224.17.3, 172.224.17.5, 172.224.17.4, 172.224.17.7, 190.64.84.30, 190.64.84.30"
mask-h2.icloud.com,NOERROR,No,"190.64.84.30, 172.224.17.3, 172.224.17.5, 172.224.17.4, 172.224.17.7, 172.224.17.8, 172.224.17.6, 190.64.84.30, 190.64.84.30"
www.espectador.com,NOERROR,No,"190.64.84.30, 179.27.158.101, 190.64.84.30, 190.64.84.30"
www.womensmediacenter.com,NOERROR,No,"190.64.84.30, 104.207.230.167, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.search.com,UNKNOWN,No,"190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
cloudflare-ipfs.com,UNKNOWN,No,"190.64.84.30, 190.64.84.30, 190.64.84.30"
www.globet.com,NOERROR,No,"190.64.84.30, 15.197.148.33, 3.33.130.190, 190.64.84.30, 190.64.84.30"
startpage.com,NOERROR,No,"190.64.84.30, 67.63.61.133, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30, 190.64.84.30"
twitter.com,UNKNOWN,No,190.64.84.30
www.jabber.ru,NOERROR,No,"190.64.84.30, 116.202.237.43, 190.64.84.30, 190.64.84.30, 190.64.84.30"
www.dotster.com,NOERROR,No,"190.64.84.30, 172.64.148.83, 190.64.84.30, 190.64.84.30"
