Dominio,Status,Bloqueado,IPs_Resueltas
www.mnr.gov.cn,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.religioustolerance.org,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
doh.centraleu.pi-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1, 200.24.249.1"
www.phenoelit.org,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
unioncivica.org.uy,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.metacafe.com,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.sbs.com.au/language/coronavirus?cid=infocus,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
social.undernet.uy,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.islamdoor.com,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.splitacecasino.net,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.ragingbullcampaign.com,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.123bingoonline.com,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1, 200.24.249.1"
www.21nova.es,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.jetbull.com,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.123bingoonline.com,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1, 200.24.249.1, 200.24.249.1, 200.24.249.1"
www.caesarsbingo.com,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.jetbull.com,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.ragingbullcampaign.com,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.splitacecasino.net,SERVFAIL,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.lsbet709.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.legolas.bet,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.citytowerscasino.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
televisionlibre.online,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.47millones.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.apuesteenlinea.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.betspil.dk,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.casinoestrella100.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.casinocolombia.com.co,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.foxfoxbet.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.losjuegosdeazar.es,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.llanosportbet.co,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.m.caba.codere.bet.ar,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.m.esportesdasorte.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.magicboxcasino.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.m.dale.sv,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.merkurmagic.es,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.mongoosecasino.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.moneygaming.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.mr.bet,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.playbet.com.co,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.premierpokerclub.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.prontobet.club,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.thelotter.uy,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.ts-casinoclub.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.urubet.net,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.v9bet.bet,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.vegashero.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.47millones.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.apuesteenlinea.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.betspil.dk,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.casinocolombia.com.co,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.casinoestrella100.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.citytowerscasino.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.foxfoxbet.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.legolas.bet,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.llanosportbet.co,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.losjuegosdeazar.es,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.lsbet709.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.m.caba.codere.bet.ar,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.m.esportesdasorte.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.magicboxcasino.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.merkurmagic.es,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.moneygaming.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.mongoosecasino.com,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.mr.bet,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
www.playbet.com.co,NXDOMAIN,Sí,"200.24.249.1, 200.24.249.1, 200.24.249.1"
