measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250501074901.429172_AR_webconnectivity_9f4872a318f0d30b,https://jugalo-net.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,200
20250501074857.956564_AR_webconnectivity_e5947d759f76604c,https://cashroyalok.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,200
20250501074856.432514_AR_webconnectivity_1c1ad15a2e7310c0,https://regalamonedas.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,200
20250501074855.493137_AR_webconnectivity_e5072401073e6322,https://lascaloneta.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,200
20250501074853.041535_AR_webconnectivity_9a44a3bfd8b5c32b,https://www.casino33.co/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,-1
20250501074851.928382_AR_webconnectivity_c042cf5c98558d87,https://www.voyjugando.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,404
20250501074851.091913_AR_webconnectivity_30250ac939c221f6,https://convergame.net/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,-1
20250501074848.535328_AR_webconnectivity_98a80d94c5708991,https://es.casino.guru/cairo-casino-jugar-gratis,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,200
20250501074846.488690_AR_webconnectivity_167a2fed0fe49008,http://www.ajugar.pro,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,403
20250501074845.371853_AR_webconnectivity_1510c79a445df34c,https://megafaraon.co/#/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,403
20250501074842.621203_AR_webconnectivity_637449092a776a7d,https://odinplay.net/jugadores/index.php,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,-1
20250501074841.258893_AR_webconnectivity_2ff643a67d2fd41a,https://cvagaming.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,200
20250501074840.033387_AR_webconnectivity_647da17f4d2c6ec4,https://mystake.com/es/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,403
20250501074838.308488_AR_webconnectivity_60a67e0ecd95c3b4,https://www.ganamos.net/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,403
20250501074837.265059_AR_webconnectivity_0b2124715f712464,https://faraonbet.net/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,200
20250501074835.268573_AR_webconnectivity_99cb8bac45827493,https://www.goodluck.de/es,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,200
20250501074834.405161_AR_webconnectivity_f2f4a726e86856a9,https://www.asesdelnorte.com/jugadores/index.php,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,520
20250501074833.288779_AR_webconnectivity_f3c0b1ae478afd0a,https://casinozeus.vip/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.200,200
