measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250421120214.834937_AR_webconnectivity_ed9dd4a87715b306,http://me.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421120154.381179_AR_webconnectivity_e4e156b2eb9675a3,http://partidounnuevotiempo.org/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421120059.958483_AR_webconnectivity_702feedfdf4fa7cf,https://www.match.com/,None,ssl_invalid_hostname,inconsistent,False,AS212238,[scrubbed],200
20250421115911.938282_AR_webconnectivity_869c3b6189914bc2,https://www.somos-venezuela.org/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421115548.168180_AR_webconnectivity_46eb8377f74be37e,http://www.gay.com/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421115359.008435_AR_webconnectivity_d4f56b90d7d2a7df,https://use-application-dns.net/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],200
20250421115110.464462_AR_webconnectivity_e7d44f8985106729,http://www.uladdhh.org.ve/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],200
20250421114357.508531_AR_webconnectivity_48a247ee88227a8f,https://d3l0kqj5h9z9zs.cloudfront.net/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421114335.793904_AR_webconnectivity_7a8cfa87c2d8cdf7,http://www.museomarino.com/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],403
20250421113810.167147_AR_webconnectivity_a3caf6a1392301d9,http://capriles.tv/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421113153.952894_AR_webconnectivity_0aa644739c84b2a0,https://www.unifertes.com/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421113125.896214_AR_webconnectivity_b28b6fc43e4c32e7,https://www.ona.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421113117.397695_AR_webconnectivity_06d5f971c2b11a07,https://www.cinecalidad.to/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421111933.397550_AR_webconnectivity_63704c381516ef72,http://www.xroxy.com/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421111643.822892_AR_webconnectivity_1e7dbbdf5ac8b321,https://www.inspirulina.com/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421110124.268221_AR_webconnectivity_db965a4f3e05e011,https://www.elinformador.com.ve/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421110109.839306_AR_webconnectivity_797ac816a1aebbae,https://soccerstreamshd.com/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421110107.863778_AR_webconnectivity_7ac2a0e20f13ede0,http://www.islamdoor.com,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421110022.832998_AR_webconnectivity_8aa01adf57f3a436,http://imesh.com/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421110020.863761_AR_webconnectivity_1e213fdb9930f4ec,http://www.wikispaces.com/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421105945.250044_AR_webconnectivity_aeccb1a921eea740,https://www.asstr.org/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421105925.388004_AR_webconnectivity_6b1cf7412911fb0b,https://voces.com.uy/,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
20250421105919.556537_AR_webconnectivity_0c7915aa15c34911,https://hacienda.gob.ni,android_dns_cache_no_data,None,inconsistent,False,AS212238,[scrubbed],-1
