measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250501235555.783956_US_webconnectivity_dcbb25036d7729d6,http://en-ville.orange.fr/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235554.553288_US_webconnectivity_4e351a5049e878cb,https://example.domain.com/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235553.629179_US_webconnectivity_3f775e6e6deddde3,http://docs.domain.com/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235552.701901_US_webconnectivity_a48a08e71eced2ca,https://archivos.domain.com/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235551.683051_US_webconnectivity_6a96c67991a34022,http://www.sedem.org.gt/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235521.165244_US_webconnectivity_14940427a514e7a0,http://www.frmt.org/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235513.988240_US_webconnectivity_1f5bec5eecf370f8,http://extratorrent.cc,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235513.179734_US_webconnectivity_45acc8803f62297f,http://www.serpaj.org,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235509.996357_US_webconnectivity_79ca54a6fcfb03cd,http://www.metacafe.com,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235501.709327_US_webconnectivity_8d23ffa6e053cc50,http://www.atimes.com/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235456.390825_US_webconnectivity_e4a24281dce9c9a5,http://www.asstr.org/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235419.006327_US_webconnectivity_56871c1785323679,http://www.topcities.com,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235406.010851_US_webconnectivity_036bef48a3bbf721,http://www.elmundo.com.ve,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235358.011459_US_webconnectivity_8204eae29031f27e,http://www.religioustolerance.org,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235351.967164_US_webconnectivity_0ef7035d2e084585,http://www.wikispaces.com,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235351.062886_US_webconnectivity_9e46b1dcea2c4532,http://check.googlezip.net/connect/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235350.230472_US_webconnectivity_9abe971dcf1ebfdd,http://check.googlezip.net/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235349.207601_US_webconnectivity_4578d6cd7a627396,http://bloquedearmas.com,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235347.979362_US_webconnectivity_35a821006f9227fe,https://extratorrent.cc/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235346.147026_US_webconnectivity_c60acec98c3adaec,http://www.topcities.com/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235324.530679_US_webconnectivity_113c7bad18cc14e3,http://diariodecaracas.com/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235323.299069_US_webconnectivity_587f923addc9324b,https://w3.ibm.com/developer/hacktoberfest/,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
20250501235322.454306_US_webconnectivity_f44398d29af2a83b,https://www.patria.org.ve/,None,generic_timeout_error,inconsistent,False,AS13335,198.41.229.211,-1
20250501235032.088972_US_webconnectivity_9536dcdd9a9f74d3,http://www.fgmnetwork.org,android_dns_cache_no_data,None,inconsistent,False,AS13335,198.41.229.211,-1
