
measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250503220857.335731_AR_webconnectivity_204d9eb0539eb0b9,https://tails.net/,None,generic_timeout_error,inconsistent,False,AS7303,181.30.140.131,200
20250503204616.932923_AR_webconnectivity_ab8802275b572f83,http://www.cencoex.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503204542.401960_AR_webconnectivity_3902930ab15bea7d,https://pwchyt.awsvpni.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503204511.887583_AR_webconnectivity_b28742b451d7de8c,https://mariacorinamundo.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503204503.494489_AR_webconnectivity_1863e3d896204a22,http://notiviasve.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503204502.575693_AR_webconnectivity_116f9a67323ed7ba,https://ooni.cloudflare-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503204448.565299_AR_webconnectivity_77dbaefe3af006af,http://cantv.net/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503204425.602809_AR_webconnectivity_3f2af9360bf5d271,https://cloudapp.net,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503204424.679219_AR_webconnectivity_084f4e050ded7e83,https://blob.core.windows.net/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503204423.765565_AR_webconnectivity_b4d57018746b1024,https://azurewebsites.net,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503204241.463663_AR_webconnectivity_8d83a9c4a3d1b080,https://pelisplus.me/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503204010.212740_AR_webconnectivity_ef75e0e92b5c8fe3,https://vamosganar.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503203906.959909_AR_webconnectivity_ae7f46bc6bf54713,https://www.mariacorinapresidente.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503203828.231532_AR_webconnectivity_bfe80a51e53d788c,https://cdninstagram.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503203810.943512_AR_webconnectivity_50824af9038f54e8,http://www.cne.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503203514.080079_AR_webconnectivity_414fd51df9b57223,https://surbitcoin.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503203343.880557_AR_webconnectivity_6fdd7a39d7a1170b,https://www.xvideos.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,200
20250503203055.311371_AR_webconnectivity_dc103af79ce8dc83,https://plafam.org.ve/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,200
20250503203017.836262_AR_webconnectivity_3c6699db379a14a3,http://me.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503202944.236550_AR_webconnectivity_e0ea2037ee476454,http://partidounnuevotiempo.org/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503202854.305059_AR_webconnectivity_4ceaadf6971626e3,https://www.match.com/,None,ssl_invalid_hostname,inconsistent,False,AS7303,181.30.140.131,200
20250503202604.177905_AR_webconnectivity_bfce40bd14eed1dd,https://www.somos-venezuela.org/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503202304.690795_AR_webconnectivity_1389cc65ba172880,http://www.gay.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503201222.321591_AR_webconnectivity_85edb5d749b9b292,https://d3l0kqj5h9z9zs.cloudfront.net/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503201201.730061_AR_webconnectivity_86a4b9c44e23eeca,http://www.museomarino.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503200631.798953_AR_webconnectivity_0080249997bda38e,http://capriles.tv/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503200038.722609_AR_webconnectivity_f80f16b193fe5864,https://www.unifertes.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503200007.286096_AR_webconnectivity_799d5ff734bffd9f,https://www.ona.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503195959.511510_AR_webconnectivity_2c0e26116a8da792,https://www.cinecalidad.to/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503194901.065148_AR_webconnectivity_20595074ee10ab63,http://www.xroxy.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503194611.686426_AR_webconnectivity_4b12ac368dbf397e,https://www.inspirulina.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503193637.039910_AR_webconnectivity_281d064b4524a4b8,http://www.xvideos.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,200
20250503193141.583953_AR_webconnectivity_389423db3c9d41c8,https://www.elinformador.com.ve/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
20250503193132.264509_AR_webconnectivity_f26e5d5979d0bc17,https://soccerstreamshd.com/,android_dns_cache_no_data,None,inconsistent,False,AS7303,181.30.140.131,-1
