measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250502155040.065729_US_webconnectivity_1b094feea5c92ec7,https://futbollibrego.pe/,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502151026.812056_US_webconnectivity_7eb8cd0c8b81f1c1,https://www.splitacecasino.net,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502151024.259913_US_webconnectivity_d58b8d57ad4dfcaa,https://www.ragingbullcampaign.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502151022.031305_US_webconnectivity_31aad04e41607516,https://www.jetbull.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502151018.635581_US_webconnectivity_206c46c411f66681,https://www.freespinscasino.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502151017.796068_US_webconnectivity_5444aff01133d3da,https://www.eurogrand.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502151016.976033_US_webconnectivity_34d5d0f90af6af4a,https://www.caesarsbingo.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502151013.499982_US_webconnectivity_321c32731fe341bc,https://www.allirishcasino.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502151010.748683_US_webconnectivity_a066e7ac41345985,https://www.21nova.es,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502151007.052925_US_webconnectivity_3ec49494e49be7c3,https://www.123bingoonline.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502151005.356967_US_webconnectivity_5a65432f2d467c06,http://www.jetbull.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502150957.245416_US_webconnectivity_13e0d35c97d2e183,http://www.freespinscasino.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502150954.553588_US_webconnectivity_12740255c4367399,http://www.caesarsbingo.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502150947.485832_US_webconnectivity_da5323212b1567f9,http://www.allirishcasino.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502150938.306010_US_webconnectivity_88d331a7e85a6049,http://www.21nova.es,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502150929.878119_US_webconnectivity_d7e89125a0aeccd5,http://www.123bingoonline.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502150911.640917_US_webconnectivity_c1737b35314ec9ef,https://libre.futbol/,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502150910.741562_US_webconnectivity_098442fd85b0e1b0,https://tvmagis.net/,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502150909.488506_US_webconnectivity_7125f5221ae6250a,http://ottc.pro/,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502150908.573110_US_webconnectivity_d74e66c40cf0f5b7,http://ott-cdn.me/,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502150842.777422_US_webconnectivity_9a9bc7ddf82408e2,http://www.ragingbullcampaign.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502150839.625844_US_webconnectivity_af6df4cd27af5e2f,http://www.splitacecasino.net,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502150837.061341_US_webconnectivity_02f78fd81c8ae08a,https://search.privacytools.io/,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
20250502150835.826189_US_webconnectivity_0c3e78250422d845,http://www.eurogrand.com,android_dns_cache_no_data,None,inconsistent,False,AS36692,146.112.133.141,-1
