measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250420235855.474622_JM_webconnectivity_4c83d6d11fc5ecf4,https://lp.betglobal.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420235825.987828_JM_webconnectivity_dd52ae124bbcb99d,https://www.joyfulbet.io,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420235622.400102_JM_webconnectivity_52afc7ea4d522e1d,https://www.yummygame.io,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420235355.044633_JM_webconnectivity_57da731235bf497d,https://luckyhandcasino.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420234827.564358_JM_webconnectivity_adddc52ca3050e4d,https://celuapuestas.pro,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420234402.760446_JM_webconnectivity_91bddf436f8412fd,https://mega-deportes.net,None,None,inconsistent,False,AS137409,83.219.96.134,429
20250420234336.850410_JM_webconnectivity_ddbbd46fb9aec611,https://futbollibretvonline.pe,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420234038.876134_JM_webconnectivity_fdac6c88d1d43a0d,https://futbollibretvhd.pe,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420234022.391020_JM_webconnectivity_8fde535d296b0d16,https://futbol-libre.pe,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,200
20250420233935.079803_JM_webconnectivity_d82bd0c8950067f6,https://libre.futbol,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420233914.815306_JM_webconnectivity_d798c85ae83ecdd6,https://casino33.co,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420233649.182183_JM_webconnectivity_d0c3026ff0019a34,https://www.hatbet56.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420233233.298400_JM_webconnectivity_6e1427c133eae598,https://jessiegold.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420232412.845391_JM_webconnectivity_2e3b62f404fb0382,https://platinoclub.net/,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420232410.903371_JM_webconnectivity_343a08ddd6528744,https://oc88.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420232236.905747_JM_webconnectivity_a43934a449341c2d,https://zonax.club/,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420232230.290056_JM_webconnectivity_8841e62c4b6a4518,https://pinkplay.net/,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420232225.990647_JM_webconnectivity_54f58e8deb690f00,https://juegasi.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420232146.244830_JM_webconnectivity_a55d704589814a63,http://www.oasispro.club/,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420232141.910123_JM_webconnectivity_a559648bdf3779df,http://www.quarzoazul.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420232038.838071_JM_webconnectivity_2d9cd2621e2ec4c6,https://www.magisapk.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420232002.387631_JM_webconnectivity_939f9340eb22226c,https://www.tvmagis.pro/,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420231755.924343_JM_webconnectivity_1d0379751a45942e,https://magistvmex.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420231745.783457_JM_webconnectivity_3fcc9f0991e6249f,https://magistv.vip/,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420231646.090140_JM_webconnectivity_8b1713dca26522de,https://magistvgo.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
20250420231526.212314_JM_webconnectivity_61b96d1fb114f655,https://magistv-ecuador.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.134,-1
