measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250522235957.176538_SV_webconnectivity_667b7ee83a257450,https://pelisplus.me/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522235800.920121_SV_webconnectivity_0a2faab4ea5846ba,https://vamosganar.com/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522235722.983788_SV_webconnectivity_ad7052f1f530fa5a,https://www.mariacorinapresidente.com/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522235657.311648_SV_webconnectivity_81112f73d714e8be,https://cdninstagram.com/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522235646.492276_SV_webconnectivity_645ce9d3783af9af,http://www.cne.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522235531.815010_SV_webconnectivity_8ffcfa83b9de17f7,https://medicos.presidenciave.org/,None,connection_refused,inconsistent,False,AS14754,190.62.44.12,200
20250522235423.188753_SV_webconnectivity_c9bdbe9be12b5726,https://surbitcoin.com/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522235012.609996_SV_webconnectivity_5278d94e9d83662d,http://me.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522234947.930373_SV_webconnectivity_44b41abac6843b84,http://partidounnuevotiempo.org/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522234801.100519_SV_webconnectivity_74216dd0dfb8f060,https://www.somos-venezuela.org/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522234539.000296_SV_webconnectivity_35b53a5475a539b0,http://www.gay.com/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522233755.739271_SV_webconnectivity_ba6caa38c520f55a,https://d3l0kqj5h9z9zs.cloudfront.net/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522233737.763990_SV_webconnectivity_986390ec96acfd11,http://www.museomarino.com/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522233317.747068_SV_webconnectivity_c64de6e483222be4,http://capriles.tv/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522232827.901148_SV_webconnectivity_0aee90e680f05d22,https://www.unifertes.com/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522232802.925064_SV_webconnectivity_f79476fe37f8445e,https://www.ona.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522232759.091470_SV_webconnectivity_921c5e057f402381,https://www.cinecalidad.to/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522232753.010716_SV_webconnectivity_13185316534d0641,https://breached.vc/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522232627.242682_SV_webconnectivity_51f6c99976afa32d,http://www.transwhiz.com/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
20250522231714.137110_SV_webconnectivity_00322f7df7782f00,https://www.inspirulina.com/,android_dns_cache_no_data,None,inconsistent,False,AS14754,190.62.44.12,-1
