measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250428235232.101187_DO_webconnectivity_9e8900eeb357001d,http://www.cencoex.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428235159.212630_DO_webconnectivity_f46d87c9e43788ed,https://pwchyt.awsvpni.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428235117.959179_DO_webconnectivity_a85d9b10ebfb68de,https://mariacorinamundo.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428235104.724580_DO_webconnectivity_c2812b3e296c37ae,http://notiviasve.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428235103.569764_DO_webconnectivity_fdf1fdafc7174e91,https://ooni.cloudflare-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428235043.938515_DO_webconnectivity_9117a3a2b12ac0fb,http://cantv.net/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428235009.915627_DO_webconnectivity_97689e9cd3b358a3,https://cloudapp.net,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428235008.678738_DO_webconnectivity_c9f69c57de79d9a9,https://blob.core.windows.net/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428235007.444158_DO_webconnectivity_ae7a7861d3d2fb31,https://azurewebsites.net,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428234728.073465_DO_webconnectivity_95be4084afc266e9,https://pelisplus.me/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428234417.271421_DO_webconnectivity_3d55f70af20e63e3,https://vamosganar.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428234415.504727_DO_webconnectivity_79fa8786686de822,http://www.isocve.org/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428234306.812998_DO_webconnectivity_75124150218b221f,https://www.mariacorinapresidente.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428234216.316139_DO_webconnectivity_0b327da4db0801ea,https://cdninstagram.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428234153.168800_DO_webconnectivity_2ad308050611a0b5,http://www.cne.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428233830.011752_DO_webconnectivity_5a33141ab7903bda,https://surbitcoin.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428233620.372815_DO_webconnectivity_199357dd0793bcaf,http://www.teenhealthfx.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428233201.289254_DO_webconnectivity_98cc7388d17b9ad9,http://me.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428233134.356028_DO_webconnectivity_93e464a106009511,http://partidounnuevotiempo.org/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428233125.925935_DO_webconnectivity_ca8aab3ff02e61e8,http://www.89.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428232707.681324_DO_webconnectivity_45887d0d4a3d2c8e,https://www.somos-venezuela.org/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428232610.921359_DO_webconnectivity_7c326cedcedf8ce5,https://arc-international.net/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428232259.071228_DO_webconnectivity_160cc193f5932cf6,http://www.gay.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428232034.373464_DO_webconnectivity_83a865acb029adf8,https://use-application-dns.net/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428231756.172097_DO_webconnectivity_60d1648a11261da9,http://aiv.org.ve/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428231638.351376_DO_webconnectivity_880c935a3f592fca,https://www.democracycaucus.net/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428231416.099808_DO_webconnectivity_0d1a054ce74785fd,http://6topoderweb.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428230506.323364_DO_webconnectivity_1d62c6fafd3022ff,https://d3l0kqj5h9z9zs.cloudfront.net/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428230417.262531_DO_webconnectivity_9d054dfde5409f2a,http://www.museomarino.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,403
20250428230334.864721_DO_webconnectivity_fcef357c58d87956,http://www.glasgow.com.ve/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428230048.177498_DO_webconnectivity_cdf1fd31f4cff22b,https://bodegonline.net/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428225743.428968_DO_webconnectivity_f65a26ea83a48429,https://caiv.org/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428225646.394020_DO_webconnectivity_bccbdd2a1311b3e4,http://fncancer.org.ve/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428225525.189880_DO_webconnectivity_e18c19e67ebd36d8,http://capriles.tv/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428224516.918557_DO_webconnectivity_a80cdf5bb21ccd45,https://www.unifertes.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428224451.786311_DO_webconnectivity_5d7ae90c2e6f65e3,https://www.ona.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428224445.594058_DO_webconnectivity_e6aef0b3951e81a5,https://www.cinecalidad.to/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428224029.990282_DO_webconnectivity_9a343b276046eba7,https://epmundo.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428222739.149046_DO_webconnectivity_d83329af1696471a,http://www.xroxy.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428222341.563615_DO_webconnectivity_e2cfc5503a6184e4,https://www.inspirulina.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428222150.838006_DO_webconnectivity_aca3c998e472b7e0,http://www.samesexmarriage.ca/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428220722.701263_DO_webconnectivity_6b8f2eb8621f63b5,https://dollar.nu/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428220654.014510_DO_webconnectivity_e373eedda935b91d,https://elpitazo.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,403
20250428220258.387672_DO_webconnectivity_d0642bb95ae4e3da,https://www.elinformador.com.ve/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428220240.804922_DO_webconnectivity_6f02af5b20b9a749,https://soccerstreamshd.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428220236.267703_DO_webconnectivity_4dc08c10363cb2c1,http://www.islamdoor.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428220157.254519_DO_webconnectivity_43d47e7b9f7bd9cf,http://imesh.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428220155.954311_DO_webconnectivity_b6b4d2ff743c4c24,http://www.wikispaces.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428220143.046856_DO_webconnectivity_18dcdfa87030daf3,https://torrentz.eu/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428220120.694466_DO_webconnectivity_03599103e7f6bc82,https://www.asstr.org/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428220100.920266_DO_webconnectivity_7928cfd9d2a3f41b,https://voces.com.uy/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428220046.390189_DO_webconnectivity_d2a9ff4bb6a2dbd6,https://hacienda.gob.ni,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428220042.301340_DO_webconnectivity_7a4dfbcfb2ee8ea1,http://www.fgmnetwork.org/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428220012.412737_DO_webconnectivity_255a92f18c0ca217,https://www.zdsptv.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428203644.290338_DO_webconnectivity_268aa47b43e322e9,https://futbollibrego.pe/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428200229.621116_DO_webconnectivity_2a53648ad3e293d8,http://www.tastybingo.com,None,None,inconsistent,False,AS137409,31.217.248.136,200
20250428200053.162890_DO_webconnectivity_a8be98d649655519,http://www.unibet.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,503
20250428193619.955506_DO_webconnectivity_1a01c26c26721bd1,https://www.splitacecasino.net,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193615.893059_DO_webconnectivity_aad662fce5bcb59d,https://www.ragingbullcampaign.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193608.905194_DO_webconnectivity_3d47a8d846d613da,https://www.jetbull.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193604.913237_DO_webconnectivity_7c0254dc8c413c0b,https://www.freespinscasino.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193603.295394_DO_webconnectivity_5b158188ef84b12e,https://www.eurogrand.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193601.108607_DO_webconnectivity_f99dc41d4ac9344e,https://www.caesarsbingo.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193556.122417_DO_webconnectivity_32e59bcd80de0f17,https://www.allirishcasino.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193546.907246_DO_webconnectivity_9317af9992778ad8,https://www.21nova.es,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193539.944715_DO_webconnectivity_bc5e83bedc0a7df0,https://www.123bingoonline.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193537.461218_DO_webconnectivity_3f6ef28ad1309fab,http://www.jetbull.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193533.079209_DO_webconnectivity_89a1043806cb7d57,http://www.freespinscasino.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193530.599069_DO_webconnectivity_7d311bfe885490a9,http://www.caesarsbingo.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193525.926651_DO_webconnectivity_e99589bb0c8406b9,http://www.allirishcasino.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193520.360083_DO_webconnectivity_c4c6ebb40eb6e4ad,http://www.21nova.es,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193514.827711_DO_webconnectivity_e5e2d107c6696f72,http://www.123bingoonline.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193436.632389_DO_webconnectivity_0aa227ae44f6d39f,https://libre.futbol/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193435.114322_DO_webconnectivity_1da158f35ef434f5,https://tvmagis.net/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193433.874723_DO_webconnectivity_af12bc1c1a8e4c48,http://ottc.pro/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193429.472726_DO_webconnectivity_f88a53f7bbd56bd5,http://ott-cdn.me/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193217.880305_DO_webconnectivity_106eeb5eae81c474,https://tutl24.xyz/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193211.209009_DO_webconnectivity_e7baa066cef3c860,http://www.ragingbullcampaign.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193203.755098_DO_webconnectivity_96a79f0357c44401,http://www.splitacecasino.net,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193200.283772_DO_webconnectivity_302ca72288bb783e,https://search.privacytools.io/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193158.146268_DO_webconnectivity_1b9b2deb5fa89ba0,http://www.eurogrand.com,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193106.508502_DO_webconnectivity_e6727b2c46ce78a3,https://doh-fi.blahdns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193105.287782_DO_webconnectivity_ce03abeb713dfb3a,https://cloudflare-ipfs.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428193041.111682_DO_webconnectivity_032d8c90bc476ff0,http://www.espectador.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428192918.573057_DO_webconnectivity_658b2e348f64a2a0,https://cf-ipfs.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428192325.298670_DO_webconnectivity_b5cc5039808ea8ac,http://www.islamdoor.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428191758.649445_DO_webconnectivity_1f2a94a68a46149b,http://www.metacafe.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428191756.173632_DO_webconnectivity_a4ded8a9e8c776d2,http://unioncivica.org.uy/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428191750.627869_DO_webconnectivity_c44cb30d68da48b0,http://www.phenoelit.org/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428191059.146505_DO_webconnectivity_3790b1e220bad967,http://www.religioustolerance.org/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428191054.233408_DO_webconnectivity_46756d80fe68ec70,https://www.xroxy.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428191029.184154_DO_webconnectivity_d87c16eee128ac0e,http://eltelescopio.com.uy/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,200
20250428191020.258543_DO_webconnectivity_236db63b37662f0d,https://www.getrevue.co/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
20250428191019.216213_DO_webconnectivity_6b9163055129b04d,http://kickassclassical.com/,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.136,-1
