measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250513223158.145435_AR_webconnectivity_e7f7fbf126428510,http://www.allactionhost.com/es-ni/web-hosting,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513223150.313579_AR_webconnectivity_d2c46a7f834fa26f,https://apen.org.ni/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513223141.638565_AR_webconnectivity_a1bc9a8ae7a9a63c,https://puntos.org.ni/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513212828.529337_AR_webconnectivity_9769e5191507e2b0,https://www.pc2call.com/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513212818.288667_AR_webconnectivity_d89954ddd9b314dc,https://bogus.d2a8n1.rootcanary.net/,android_dns_cache_no_data,,inconsistent,False,AS16814,190.2.2.3,-1
20250513212545.200206_AR_webconnectivity_ce81c3497e7c3b50,https://hightimes.com/,android_dns_cache_no_data,,inconsistent,False,AS16814,190.2.2.3,-1
20250513212150.397203_AR_webconnectivity_46399ff89c641b83,http://stealthchat.com/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513210224.674935_AR_webconnectivity_86d05ac43676ce15,http://alpha66.org/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513210219.247856_AR_webconnectivity_38fdcaa5dc2f56a9,https://www.alpha66.org/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513210214.024636_AR_webconnectivity_3f1cefaa19c03782,http://www.alpha66.org/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513210016.674182_AR_webconnectivity_04236db0d7c876c6,http://www.consensocubano.org/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513205728.631870_AR_webconnectivity_f38ffb7742272db0,https://alpha66.org/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513205237.115985_AR_webconnectivity_fd6b093c8b1d1923,http://www.cubamemorial.net/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204406.348643_AR_webconnectivity_30d5efa5be2ee601,https://cuevana3.io/,,connection_refused,inconsistent,False,AS16814,190.2.2.3,200
20250513204359.390528_AR_webconnectivity_f2e781dab71148bc,http://www.betfair.com,,connection_refused,inconsistent,False,AS16814,190.2.2.3,403
20250513204306.638341_AR_webconnectivity_b2642432b6abfbbf,http://en-ville.orange.fr/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204305.498356_AR_webconnectivity_1ab64fa724509cdd,https://example.domain.com/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204304.578365_AR_webconnectivity_0494a9032e65f357,http://docs.domain.com/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204303.653850_AR_webconnectivity_eba3ccadf152776c,https://archivos.domain.com/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204302.435184_AR_webconnectivity_782720af1edb6bc3,http://www.sedem.org.gt/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204239.181980_AR_webconnectivity_c3541950c0c1e41f,http://www.frmt.org/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204236.035416_AR_webconnectivity_33ab1b7d8dddf993,http://extratorrent.cc,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204235.186633_AR_webconnectivity_8b5e87222760a070,http://www.serpaj.org,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204232.729322_AR_webconnectivity_b1dc098bad00f01d,http://www.metacafe.com,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204228.224953_AR_webconnectivity_bab5d24f80e98d6a,http://www.atimes.com/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204224.848046_AR_webconnectivity_2e6323ff3cf176d3,http://www.asstr.org/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204151.465145_AR_webconnectivity_8ad474d881f14946,http://www.topcities.com,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204135.899968_AR_webconnectivity_442e26217ca48620,http://www.elmundo.com.ve,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204130.166983_AR_webconnectivity_5afc566979a49e8f,http://www.religioustolerance.org,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204127.600926_AR_webconnectivity_f7074502543c7a4a,http://www.wikispaces.com,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204126.376108_AR_webconnectivity_a35d075eb2fe53cc,http://check.googlezip.net/connect/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204125.556089_AR_webconnectivity_07dad9d58315edf8,http://check.googlezip.net/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204124.633500_AR_webconnectivity_75860473b46ccfae,http://bloquedearmas.com,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204123.711440_AR_webconnectivity_2c8f4dadcb9996ec,https://extratorrent.cc/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
20250513204121.255161_AR_webconnectivity_9e3e4ab4786cfca8,http://www.topcities.com/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS16814,190.2.2.3,-1
