measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250423235930.803574_UY_webconnectivity_bc11dc12682b1e80,https://pelisplus.me/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423235723.460316_UY_webconnectivity_483b984dc6bb13c1,https://vamosganar.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423235636.740099_UY_webconnectivity_0cf10c2a58d79d25,https://www.mariacorinapresidente.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423235556.420091_UY_webconnectivity_9163825aa06016cb,https://cdninstagram.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423235543.612395_UY_webconnectivity_18694b8fdbe9ffff,http://www.cne.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423235533.263992_UY_webconnectivity_66c1ca7a181b12f3,https://isa.gov.ly/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,200
20250423235328.508301_UY_webconnectivity_52a5863f8bf65c83,https://surbitcoin.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423234906.256809_UY_webconnectivity_1787684b18988a99,http://me.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423234840.354293_UY_webconnectivity_a211f5d7ec04c776,http://partidounnuevotiempo.org/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423234630.814477_UY_webconnectivity_5d7be84b92002099,https://www.somos-venezuela.org/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423234401.377680_UY_webconnectivity_fb46a0ff4fe658d9,http://www.gay.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423233606.602084_UY_webconnectivity_ebeb9adfe860862d,https://d3l0kqj5h9z9zs.cloudfront.net/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423233134.785380_UY_webconnectivity_8bd04da0bc480305,http://capriles.tv/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423232650.539590_UY_webconnectivity_68705b9691ebf8d6,https://www.unifertes.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423232624.777604_UY_webconnectivity_1b054254478aafe8,https://www.ona.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423232621.891338_UY_webconnectivity_78d48d98179c6c86,https://www.cinecalidad.to/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423231708.625793_UY_webconnectivity_6770fb660089d849,http://www.xroxy.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423231427.005742_UY_webconnectivity_885a64504610840c,https://www.inspirulina.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423230238.886162_UY_webconnectivity_4e5560cf4197983d,https://www.elinformador.com.ve/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423230229.462401_UY_webconnectivity_69ce14c61fc8dd6a,https://soccerstreamshd.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423230228.013825_UY_webconnectivity_1805e4ca02f4e3ca,http://www.islamdoor.com,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423230126.781081_UY_webconnectivity_e0eb77504c2470c1,http://imesh.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423230125.821411_UY_webconnectivity_78e3756eace97972,http://www.wikispaces.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,-1
20250423230124.942123_UY_webconnectivity_c1bdcdcd7981461b,http://www.partypoker.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.157.52,403
