measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250526124737.221647_VE_webconnectivity_33a2d9d94fcbc18f,https://regalamonedas.com/,None,connection_refused,inconsistent,False,AS13335,172.70.81.192,200
20250526124440.881847_VE_webconnectivity_955c2abb4b59c073,https://Saori.bet,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
20250526124439.964961_VE_webconnectivity_e0d07d63e0ccf17a,https://www.cleopatrabet.co/,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
20250526124248.252110_VE_webconnectivity_04ca5cab61d846e8,https://www.luckylanespins.com,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
20250526124139.909253_VE_webconnectivity_b7e3ab0376ed1235,https://www.silverplay013.com,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
20250526124135.671043_VE_webconnectivity_4b7cfccb993d16ac,https://www.thrillsy.com,None,connection_refused,inconsistent,False,AS13335,172.70.81.192,403
20250526123841.511892_VE_webconnectivity_f9b52f1dfa5ae56f,https://www.megafaraon.co,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
20250526123456.351982_VE_webconnectivity_a83a3abec95faec9,https://redblackline.net/home,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
20250526123418.167906_VE_webconnectivity_162af538b19e8096,https://pinkgame.net/sports.php,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
20250526123417.016584_VE_webconnectivity_63e88055181e1345,https://pinkgame.net/,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
20250526123359.200535_VE_webconnectivity_05e738fe794cb53e,https://jugaygana.online/,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
20250526123340.043201_VE_webconnectivity_776de62ca2329b75,https://betglobal.com/es/sports,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
20250526123232.772001_VE_webconnectivity_13d9d62c107cc111,https://www.hallabet.com/en,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
20250526123215.995727_VE_webconnectivity_dde523e937331fbb,https://www.m88.io,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
20250526123109.270271_VE_webconnectivity_7c99936032622fe1,https://www.hatbet56.com/tf,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
20250526122718.192830_VE_webconnectivity_df04c1ffc8832289,https://lp.betglobal.com,android_dns_cache_no_data,None,inconsistent,False,AS13335,172.70.81.192,-1
