anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://Saori.bet,2025-05-20T17:06:19Z,20250520170619.806887_VE_webconnectivity_4a67f5b3094c19c4,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250520170619.806887_VE_webconnectivity_4a67f5b3094c19c4,AS8048,VE,20250520T103002Z_webconnectivity_VE_8048_n1_GFgjGP1OZtiWbZJD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.cleopatrabet.co/,2025-05-20T17:06:18Z,20250520170618.809939_VE_webconnectivity_354570c64a1c1d97,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250520170618.809939_VE_webconnectivity_354570c64a1c1d97,AS8048,VE,20250520T103002Z_webconnectivity_VE_8048_n1_GFgjGP1OZtiWbZJD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.luckylanespins.com,2025-05-20T17:05:15Z,20250520170515.422292_VE_webconnectivity_5d5a1d6768545b1a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250520170515.422292_VE_webconnectivity_5d5a1d6768545b1a,AS8048,VE,20250520T103002Z_webconnectivity_VE_8048_n1_GFgjGP1OZtiWbZJD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.silverplay013.com,2025-05-20T17:04:15Z,20250520170415.310298_VE_webconnectivity_d16b42d377a90a34,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250520170415.310298_VE_webconnectivity_d16b42d377a90a34,AS8048,VE,20250520T103002Z_webconnectivity_VE_8048_n1_GFgjGP1OZtiWbZJD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.megafaraon.co,2025-05-20T17:02:04Z,20250520170203.929958_VE_webconnectivity_97d68fd651500244,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250520170203.929958_VE_webconnectivity_97d68fd651500244,AS8048,VE,20250520T103002Z_webconnectivity_VE_8048_n1_GFgjGP1OZtiWbZJD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://redblackline.net/home,2025-05-20T16:59:17Z,20250520165917.855517_VE_webconnectivity_2ea21ea37d477b95,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250520165917.855517_VE_webconnectivity_2ea21ea37d477b95,AS8048,VE,20250520T103002Z_webconnectivity_VE_8048_n1_GFgjGP1OZtiWbZJD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://pinkgame.net/sports.php,2025-05-20T16:58:45Z,20250520165845.389750_VE_webconnectivity_829a848dc9038edf,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250520165845.389750_VE_webconnectivity_829a848dc9038edf,AS8048,VE,20250520T103002Z_webconnectivity_VE_8048_n1_GFgjGP1OZtiWbZJD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://pinkgame.net/,2025-05-20T16:58:43Z,20250520165844.267318_VE_webconnectivity_a34f2511b21d9d5a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250520165844.267318_VE_webconnectivity_a34f2511b21d9d5a,AS8048,VE,20250520T103002Z_webconnectivity_VE_8048_n1_GFgjGP1OZtiWbZJD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://jugaygana.online/,2025-05-20T16:58:31Z,20250520165831.764325_VE_webconnectivity_823529d8c87bb544,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250520165831.764325_VE_webconnectivity_823529d8c87bb544,AS8048,VE,20250520T103002Z_webconnectivity_VE_8048_n1_GFgjGP1OZtiWbZJD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://betglobal.com/es/sports,2025-05-20T16:58:16Z,20250520165816.349849_VE_webconnectivity_8eea287f50ae96dc,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250520165816.349849_VE_webconnectivity_8eea287f50ae96dc,AS8048,VE,20250520T103002Z_webconnectivity_VE_8048_n1_GFgjGP1OZtiWbZJD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
