measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250515235843.321164_VE_webconnectivity_656a8cb84caf1428,https://futbollibrego.pe/,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS212238,45.83.145.87,-1
20250515230813.518205_VE_webconnectivity_bc200b87ba6979be,https://www.splitacecasino.net,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS212238,45.83.145.87,-1
20250515230806.355747_VE_webconnectivity_5748912970781cff,https://www.ragingbullcampaign.com,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS212238,45.83.145.87,-1
20250515230759.398184_VE_webconnectivity_b93d1f6cb3394860,https://www.jetbull.com,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS212238,45.83.145.87,-1
20250515230752.736201_VE_webconnectivity_380aca398708bc42,https://www.freespinscasino.com,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS212238,45.83.145.87,-1
20250515230747.206826_VE_webconnectivity_3a6960be73ba6137,https://www.eurogrand.com,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS212238,45.83.145.87,-1
20250515230745.363918_VE_webconnectivity_18ac7e35756dd6f3,https://www.caesarsbingo.com,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS212238,45.83.145.87,-1
20250515230742.701256_VE_webconnectivity_1c8f7449de46e7c5,https://www.allirishcasino.com,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS212238,45.83.145.87,-1
20250515230741.171690_VE_webconnectivity_7e105e5065634a08,https://www.21nova.es,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS212238,45.83.145.87,-1
20250515230738.608532_VE_webconnectivity_71ef4aabe6547cd8,https://www.123bingoonline.com,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS212238,45.83.145.87,-1
20250515230726.937244_VE_webconnectivity_9715b88152a31d55,http://www.jetbull.com,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS212238,45.83.145.87,-1
20250515230723.861777_VE_webconnectivity_2adb0c22eb924027,http://www.freespinscasino.com,android_dns_cache_no_data,,inconsistent,NOACCESIBLEPORMETODO,AS212238,45.83.145.87,-1
