code,tags
ALDR,"alcohol, cerveza, vino, whisky, sustancia, droga, cannabis, marihuana, cocaina, opio, lsd, mdma, anfetamina, heroina, crack, ketamina, vodka, bar, distribuidor, fernet, martini, mojito, gin, tequila, ron, mezcal, licor, champan, brandy, metanfetamina, tabaco, nicotina, ayahuasca, alucinogenos, pastillas, trago, coctel, destilado, intoxicacion, resaca, tolerancia, adiccion, alcoholismo, estimulante, narcotico, pipa, jeringa, dealer, cristal, porro"
REL,"religion, dios, biblia, coran, iglesia, mezquita, templo, budismo, cristianismo, islam, hinduismo, ateismo, teologia, rezar, santo, crucifijo, bendicion, jesus, misa, evangelio, sacerdote, monje, sagrada, divino, oracion, profeta, redencion, alma, pecado, mandamiento, paraiso, infierno, demonio, satanas, sacramento, adoracion, reencarnacion, iluminacion, taoismo, judaismo, talmud, tora, rabino, mantra, agnosticismo, bautismo, catecismo, testamento, cruz, vaticano"
PORN,"porno, pornografia, xxx, erotico, adultos, sex, desnudo, hardcore, nude, explicit, softcore, fetiche, orgia, voyeur, stripter, prohibido, tabu, pornhub, cams, desvestirse, masturbacion, calientes, 18+, hentai, bdsm, sumision, escort, swingers, desnudez, webcam, caliente, anal, trio, gangbang, peepshow, desnudarse, playboy, stripper, pornstars, milf, ninfomana, nudes, onlyfans, camgirl, sissoring, tijeras, arnes, twerking, dildo, fisting"
PROV,"bikini, lingerie, provocativo, seductor, atractivo, ajustado, corset, minifalda, lenceria, sensual, escote, transparencias, sexy, tentador, atrevido, coqueto, insinuante, pantimedias, encaje, liguero, bralette, canacan, strapless, tanga, translucido, gogo, mujerzuela, pantalones, lace, fishnet, cuero, sexywear, hotpants, sexysuit, slutwear, mesh, leotard, seamless, choker, animalprint, bustier, tights, mallas, bodysuit, suspenders, babydoll, conjunto, camisón, corpiño, kimono"
POLR,"critica, oposicion, bukele, corrupcion, maduro, milei, orsi, presidente, democracia, dictadura, reforma, autoritarismo, supresion, activismo, patria, gobierno, senado, congreso, elecciones, referendum, legislatura, dictador, socialismo, comunismo, liberalismo, fascismo, anarquismo, ideologia, votacion, plebiscito, nepotismo, populismo, sectarismo, autoridad, progreso, retroceso, justicia, impunidad, revolucion, conservadurismo, progresismo, división, disidencia, reivindicacion, prevaricacion, sistemica, clientelismo, partidismo, coalicion, estatismo"
HUMR,"derechos, feminismo, matrimonio, igualitario, feminista, emigrantes, igualdad, minorias, humano, dogmatismo, genero, opresion, alimentacion, potable, equidad, inclusion, ong, vulneracion, libertad, expresion, juez, acoso, inmigrantes, empoderamiento, abolicion, privilegios, tolerancia, desigualdad, reparaciones, interseccionalidad, prejuicio, marginalización, protesta, manifestación, patriarcado, feminicidio, explotación, despenalización, censura, pobreza, infantil, igualitarismo, social, resiliencia, progresividad, solidaridad, dignidad, injusticia, vulnerabilidad, autodeterminacion"
ENV,"medioambiente, deforestacion, contaminacion, clima, ecologia, reciclaje, biodiversidad, renovable, sostenibilidad, energia, ecofriendly, ambientalismo, conservacion, reforestacion, preservacion, ecosistema, planeta, amazonas, residuos, plasticos, biodegradable, basura, polucion, desperdicio, sustentabilidad, permacultura, ozono, invernadero, ecoactivismo, ecoturismo, flora, fauna, fracking, biocombustibles, aguacero, reutilizar, compostar, ecotecnia, naturaleza, recursos, ecosolar, biomasas, carbono, verde, saneamiento, fotovoltaico, marino, vegetacion, limpieza, bioplastico"
MILX,"terrorismo, separatistas, yihad, militante, guerrilla, insurgencia, extremismo, atentado, fundamentalismo, radicalizacion, paramilitar, rebeldes, armado, armas, subversion, combatiente, mercenario, ataque, guerra, taliban, alqaeda, faccion, separatismo, insurgente, levantamiento, rebelion, milicia, bomba, secuestro, armamento, intifada, sublevación, militar, destruccion, infiltracion, conspiracion, extremista, inteligencia, narcoterrorismo, maritima, contrainteligencia, ciberyihad, revolucionario, comandos, desercion, desertar, extorsion, insubordinacion, patovica, belico"
HATE,"odio, racista, racismo, homofobia, misoginia, antisemita, xenofobia, transfobia, discriminacion, intolerancia, prejuicio, violencia, domestica, segregacion, hostilidad, desprecio, estereotipo, radicalismo, fanatismo, polarizacion, exclusion, machismo, abuso, marginacion, centralismo, deshumanizacion, segregacionismo, islamofobia, bullying, ciberacoso, ciberbulling, hostigamiento, negacionismo, elitismo, difamacion, resentimiento, represion, discriminador, antagonismo, persecucion, prejuicioso, intimidacion, repudio, intolerante, pernicioso, lesbisidio, feminicidio, antipatia, aborrecimiento, gordofobia"
NEWS,"noticias, cnn, bbc, periodico, informativo, diario, noticiero, actualidad, reportaje, medios, comunicacion, periodista, autor, escritor, clarin, noticia, informacion, prensa, periodismo, news, television, radio, revista, columnista, articulo, editorial, analisis, cobertura, corresponsal, titular, boletin, desinformacion, veracidad, comunicado, entrevista, sensacionalismo, tertulia, opinionismo, divulgacion, foro, difusion, elpais, cronista, sindicato, locutor, columna, exclusiva, informante, novedades, testimonio"
XED,"educacion, anticoncepcion, emfermedades sexuales, prevencion, campo de latex, condon, embarazo, aborto, salud, metodos, anticonceptivos, reproductivos, fertilidad, esterilidad, menstrual, ovulacion, menstruacion, premenstrual, menopausia, pubertad, preservativos, pastillas anticonceptivas, DIU, vasectomia, trompas, hormonales, reproduccion, fecundacion, inseminacion, parto, cesarea, paternidad, maternidad, lactancia, materna, ETS, gonorrea, sifilis, diu, parche, consentimiento, sexologia, sexologa, papanicolaou, ecografia, feto, nacimiento, postparto, reproductiva, precoz"
PUBH,"vih, sars, gripe, oms, epidemia, pandemia, vacunas, enfermedades, covid, coronavirus, virus, bacteria, contagio, inmunizacion, prevencion, tratamiento, hospital, epidemiologia, brotes, cuarentena, vacunacion, antiviral, antibioticos, morbilidad, mortalidad, cancer, diabetes, hipertension, malaria, dengue, zika, tuberculosis, ebola, hepatitis, sarampion, rubeola, poliomielitis, viruela, bienestar, nutricion, obesidad, adicciones, biotecnologia, farmacovigilancia, vacuna, higiene, vacunoteca, profilaxis, epidemiólogo, infectología"
GMB,"casino, apuestas, poker, gaming, fun, game, loteria, tragamonedas, vet, ruleta, blackjack, apuesta, juega, 777, lucky, jackpot, fortune, fortuna, ruby, rich, bet, vegas, slot, tombola, bingo, gambling, games, suerte, lottery, sportium, timba, play, cashback, craps, keno, dados, quiniela, megabucks, sweepstakes, parlay, trifecta, handicap, combinadas, bluff, las vegas, pocker, jackpotera, tragaperras, bonos, sorteo"
ANON,"vpn, proxy, anonimato, elusion, cifrado, privacidad, darknet, deepweb, criptografia, encriptacion, incognito, cookies, firewall, informatica, cibernetica, ciberseguridad, phishing, honeypot, autenticación, contraseñas, blockchain, bitcoin, P2P, whistleblower, servidor, nodos, mesh, ciberanarquismo, metadatos, firmware, freenet, zeronet, SOCKS5, signal, anonimizar, tunnel, navegador, identidad, claves, criptomonedas, seguridad, servidores, redes, hacktivismo, ocultamiento, conexiones, proxychain"
DATE,"citas, dating, match, pareja, relaciones, amor, romance, conexion, ligar, flirteo, coqueteo, enamoramiento, quimica, compatibilidad, soltero, soltera, cupido, seduccion, afecto, compromiso, tinder, bumble, okcupid, happen, grinder, meetic, matchmaking, encuentros, ruptura, desamor, pasion, corazones, conquista, galanteria, cortejo, noviazgo, gay, lesbiana, bisexual, homosexual, chongo, chonga, tochandgo, sexo, casual, matrimonio, arregalado, swipe"
GRP,"red, facebook, twitter, instagram, tiktok, linkedin, foro, comunidad, grupo, chat, mensajeria, seguidor, seguidores, influencer, perfil, feed, hashtag, post, comentarios, likes, reacciones, streaming, twitch, pinterest, reddit, telegram, whatsapp, snapchat, clubhouse, hilos, menciones, notificaciones, compartir, viral, tendencias, networking, usuarios, streamers, youtubers, influencers, historias, reels, shorts, trending, meme, challenge, like, crowdsourcing, suscriptores, engagement"
