measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250426232419.487529_AR_webconnectivity_0b509102b7a5229e,http://www.cencoex.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426232339.890000_AR_webconnectivity_f561581f1dd1d602,https://pwchyt.awsvpni.com/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426232239.277101_AR_webconnectivity_1aa9719667694cc7,https://mariacorinamundo.com/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426232201.110126_AR_webconnectivity_09c2f631052f5b4c,http://notiviasve.com/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426232159.861608_AR_webconnectivity_3471d3af65df8bea,https://ooni.cloudflare-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426232045.254505_AR_webconnectivity_30d2cbe2d0984a35,http://cantv.net/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426231942.326317_AR_webconnectivity_6e4d75549b4a2645,https://cloudapp.net,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426231941.182141_AR_webconnectivity_06f514814f7cf65f,https://blob.core.windows.net/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426231940.046615_AR_webconnectivity_6011cc635be46cdf,https://azurewebsites.net,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426231708.333051_AR_webconnectivity_e7e00834e5a1f932,https://pelisplus.me/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426231247.752480_AR_webconnectivity_06958fe80cff31cf,https://vamosganar.com/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426231038.710213_AR_webconnectivity_3247c89416899671,https://www.mariacorinapresidente.com/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426230919.582109_AR_webconnectivity_10f44f3824034408,https://cdninstagram.com/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426230849.109830_AR_webconnectivity_d2b5d0d978b934d3,http://www.cne.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426230521.670819_AR_webconnectivity_563003a6aba2784a,https://surbitcoin.com/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
20250426230507.934293_AR_webconnectivity_8d3beb886f54496d,https://viviendaenred.net/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,200
20250426225634.582291_AR_webconnectivity_5e1c57d41165d848,http://me.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS30058,66.90.73.115,-1
