measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250421234924.754100_SV_webconnectivity_d5c2b69466873368,https://platinoclub.net/,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421234917.991900_SV_webconnectivity_c19702a632545885,https://oc88.com/,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421234628.619836_SV_webconnectivity_9a46c86fc24fd6af,https://zonax.club/,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421234622.681155_SV_webconnectivity_ed772c90dc5c4d49,https://pinkplay.net/,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421234609.572172_SV_webconnectivity_c3f8c0638138d667,https://juegasi.com/,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421234421.335675_SV_webconnectivity_d0558367dafc2edd,http://www.oasispro.club/,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421234412.120487_SV_webconnectivity_49d350a2e656579c,http://www.quarzoazul.com/,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421234209.926387_SV_webconnectivity_a234e87141d3b106,https://www.magisapk.com/,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421234139.652152_SV_webconnectivity_616d157b7832b79f,https://www.tvmagis.pro/,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421233932.058233_SV_webconnectivity_185d0547f6681d03,https://magistvmex.com/,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421233924.278015_SV_webconnectivity_58768e236af710e9,https://magistv.vip/,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421233725.592490_SV_webconnectivity_6824577bc90b11be,https://magistvgo.com/,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421233428.637704_SV_webconnectivity_ae98f438d7b95b1f,https://magistv-ecuador.com/,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421233247.337987_SV_webconnectivity_e4d80789e191478d,https://www.tvmagis.pro,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421233235.711807_SV_webconnectivity_0cad40c0a947e479,https://www.magistv.net,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421233234.262253_SV_webconnectivity_1609cf63d73f05ea,https://kodipro.org/downloader/Mospy%20Tv_3.0.3.apk,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
20250421233148.802743_SV_webconnectivity_b4fcd3d7b144d030,https://h5.rainbowex.life/#/pages/download/download,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.4,-1
