measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250430203153.689922_AR_webconnectivity_18f46f85e4c7338c,https://www.casino33.co/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430203142.525325_AR_webconnectivity_54ab797169d76113,https://convergame.net/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430202919.988242_AR_webconnectivity_4b0435235c1d2132,https://Saori.bet,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430202916.607819_AR_webconnectivity_e79477dd87434572,https://www.cleopatrabet.co/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430202754.887360_AR_webconnectivity_226eb9b4c43d977c,https://www.luckylanespins.com,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430202702.663994_AR_webconnectivity_b484681d83e065d0,https://www.silverplay013.com,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430202408.889192_AR_webconnectivity_743e93ff1e621c61,https://www.megafaraon.co,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430202054.943451_AR_webconnectivity_43217c649402ba74,https://redblackline.net/home,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430202006.654910_AR_webconnectivity_0a3bc51a89655546,https://pinkgame.net/sports.php,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430202005.175338_AR_webconnectivity_09b69d97483c6542,https://pinkgame.net/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430201944.285825_AR_webconnectivity_76d61cec58654cf7,https://jugaygana.online/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430201922.271901_AR_webconnectivity_58952255cf17ef16,https://betglobal.com/es/sports,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430201803.934304_AR_webconnectivity_b7f3b604a5c960e5,https://www.m88.io,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430201642.421695_AR_webconnectivity_a87f55af119c1659,https://www.hatbet56.com/tf,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430201322.328708_AR_webconnectivity_d8d9a02866984ab3,https://lp.betglobal.com,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430201301.442017_AR_webconnectivity_894d480152ff21c7,https://www.joyfulbet.io,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430201143.819940_AR_webconnectivity_85ba027d02d611d0,https://www.yummygame.io,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430201023.849989_AR_webconnectivity_5486389a61c5c7a5,https://luckyhandcasino.com,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430200914.110409_AR_webconnectivity_8050832768ca7246,https://betcoin.pro,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430200718.705495_AR_webconnectivity_181c6f90c8eb06cd,https://clubriches.com,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430200654.542496_AR_webconnectivity_4cfd2833750f6e61,https://celuapuestas.pro,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430200343.662575_AR_webconnectivity_a99a1a375fe8c553,https://futbollibretvonline.pe,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430200255.127176_AR_webconnectivity_9dbd3a2b306ff9a8,https://futbollibre.pl,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430200138.327455_AR_webconnectivity_b0bfe888d860c5c3,https://futbollibretvhd.pe,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430200100.027617_AR_webconnectivity_4cbd91eefdf0fa73,https://libre.futbol,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430200044.361310_AR_webconnectivity_aae7db3752e8277d,https://casino33.co,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430195928.581101_AR_webconnectivity_077fcaae82523dc3,https://www.hatbet56.com,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430195651.604194_AR_webconnectivity_2d9fa2c6112b84f3,https://jessiegold.com,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430195159.865971_AR_webconnectivity_496fad8f18fb5e99,https://platinoclub.net/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430195156.382254_AR_webconnectivity_85c22868f5ca07bb,https://oc88.com/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430195051.162592_AR_webconnectivity_46a66f0bbd5e4d5e,https://zonax.club/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430195045.417924_AR_webconnectivity_f53b13392a499567,https://pinkplay.net/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430195010.600417_AR_webconnectivity_252d8537060fa2ec,http://www.oasispro.club/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430195006.093209_AR_webconnectivity_d83d67c7cc3ef45c,http://www.quarzoazul.com/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430194926.159136_AR_webconnectivity_66d2a830eddd18c6,https://www.magisapk.com/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430194903.122530_AR_webconnectivity_03c99c02132ae0d2,https://magistvtv.com/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
20250430194845.910780_AR_webconnectivity_c1e6b23cf71445c9,https://www.tvmagis.pro/,android_dns_cache_no_data,None,inconsistent,False,AS262287,173.244.55.112,-1
