Dominio,Status,Bloqueado,IPs_Resueltas
rojadirectatv.tv,NOERROR,No,"164.163.74.82, 52.223.39.56, 164.163.74.82, 164.163.74.82"
rojadirecta.me,NOERROR,No,"164.163.74.82, 52.223.39.56, 164.163.74.82, 164.163.74.82"
www.goldenpalace.com,NOERROR,No,"164.163.74.82, 188.166.140.34, 164.163.74.82, 164.163.74.82"
www.gambling.com,NOERROR,No,"164.163.74.82, 104.18.26.235, 104.18.27.235, 164.163.74.82, 164.163.74.82"
www.europacasino.com,NOERROR,No,"164.163.74.82, 172.66.44.186, 172.66.47.70, 164.163.74.82, 164.163.74.82"
www.eurogrand.com,NOERROR,No,"164.163.74.82, 164.163.74.82, 164.163.74.82"
www.casino.com,NOERROR,No,"164.163.74.82, 151.101.67.52, 151.101.131.52, 151.101.3.52, 151.101.195.52, 164.163.74.82, 164.163.74.82"
www.casinotropez.com,NOERROR,No,"164.163.74.82, 104.21.96.1, 104.21.112.1, 104.21.64.1, 104.21.48.1, 104.21.80.1, 104.21.16.1, 104.21.32.1, 164.163.74.82, 164.163.74.82"
www.betfair.com,NOERROR,No,"164.163.74.82, 104.19.154.16, 104.19.153.16, 164.163.74.82, 164.163.74.82"
www.888casino.com,NOERROR,No,"164.163.74.82, 18.64.174.96, 18.64.174.111, 18.64.174.39, 18.64.174.95, 164.163.74.82, 164.163.74.82"
www.usacasino.com,NOERROR,No,"164.163.74.82, 217.19.248.132, 164.163.74.82, 164.163.74.82"
www.sportingbet.com,NOERROR,No,"164.163.74.82, 104.16.99.49, 104.16.100.49, 164.163.74.82, 164.163.74.82"
www.spinpalace.com,NOERROR,No,"164.163.74.82, 104.18.179.110, 104.18.178.110, 164.163.74.82, 164.163.74.82"
www.pokerstars.com,NOERROR,No,"164.163.74.82, 190.61.111.146, 190.61.111.138, 164.163.74.82, 164.163.74.82"
www.onlinegambling.com,NOERROR,No,"164.163.74.82, 104.19.186.101, 104.19.185.101, 164.163.74.82, 164.163.74.82"
www.wetplace.com,NOERROR,No,"164.163.74.82, 162.210.196.168, 164.163.74.82, 164.163.74.82"
ilga.org,NOERROR,No,"164.163.74.82, 172.67.69.48, 104.26.3.128, 104.26.2.128, 164.163.74.82, 164.163.74.82"
8kun.top,NOERROR,No,"164.163.74.82, 77.73.69.98, 77.73.68.181, 135.148.43.6, 164.163.74.82, 164.163.74.82"
archive.is,NOERROR,No,"164.163.74.82, 45.95.233.13, 164.163.74.82, 164.163.74.82"
www.privacyinternational.org,NOERROR,No,"164.163.74.82, 104.22.20.93, 104.22.21.93, 172.67.5.244, 164.163.74.82, 164.163.74.82"
www.nifty.org,NOERROR,No,"164.163.74.82, 67.205.61.97, 164.163.74.82, 164.163.74.82"
www.hrcr.org,NOERROR,No,"164.163.74.82, 172.67.132.57, 104.21.4.155, 164.163.74.82, 164.163.74.82"
www.imf.org,NOERROR,No,"164.163.74.82, 23.39.223.135, 23.39.223.149, 164.163.74.82, 164.163.74.82"
www.dailysabah.com,NOERROR,No,"164.163.74.82, 18.66.255.39, 18.66.255.83, 18.66.255.68, 18.66.255.99, 164.163.74.82, 164.163.74.82"
diariolajuventud.com,NOERROR,No,"164.163.74.82, 172.67.162.39, 104.21.15.100, 164.163.74.82, 164.163.74.82"
archive.ph,NOERROR,No,"164.163.74.82, 45.95.146.58, 164.163.74.82, 164.163.74.82"
www.securityfocus.com,NOERROR,No,"164.163.74.82, 164.163.74.82, 164.163.74.82"
www.stratcom.mil,NOERROR,No,"164.163.74.82, 23.39.223.142, 23.39.223.139, 164.163.74.82, 164.163.74.82"
www.guildwars.com,NOERROR,No,"164.163.74.82, 23.23.227.177, 35.169.251.100, 164.163.74.82, 164.163.74.82"
www.dailymail.co.uk,NOERROR,No,"164.163.74.82, 23.209.221.3, 164.163.74.82, 164.163.74.82"
www.honduras.com,NOERROR,No,"164.163.74.82, 18.239.225.19, 18.239.225.81, 18.239.225.60, 18.239.225.5, 164.163.74.82, 164.163.74.82"
wikidata.org,NOERROR,No,"164.163.74.82, 208.80.154.224, 164.163.74.82, 164.163.74.82"
www.itsyoursexlife.com,NOERROR,No,"164.163.74.82, 54.157.108.158, 100.28.104.175, 98.83.184.133, 164.163.74.82, 164.163.74.82"
www.jsf.mil,NOERROR,No,"164.163.74.82, 140.19.248.11, 164.163.74.82, 164.163.74.82"
dailystormer.name,NOERROR,No,"164.163.74.82, 104.21.38.178, 172.67.137.29, 164.163.74.82, 164.163.74.82"
www.pandora.com,NOERROR,No,"164.163.74.82, 199.116.164.229, 164.163.74.82, 164.163.74.82"
www.ruf-ch.org,NOERROR,No,"164.163.74.82, 104.21.80.1, 104.21.112.1, 104.21.32.1, 104.21.96.1, 104.21.16.1, 104.21.64.1, 104.21.48.1, 164.163.74.82, 164.163.74.82"
ikhwanonline.com,NOERROR,No,"164.163.74.82, 172.67.216.195, 104.21.24.40, 164.163.74.82, 164.163.74.82"
xe.com,NOERROR,No,"164.163.74.82, 13.226.52.68, 13.226.52.34, 13.226.52.70, 13.226.52.30, 164.163.74.82, 164.163.74.82"
www.bbm.com,NOERROR,No,"164.163.74.82, 74.82.70.131, 164.163.74.82, 164.163.74.82"
www.rt.com,NOERROR,No,"164.163.74.82, 89.191.237.192, 185.79.236.174, 164.163.74.82, 164.163.74.82"
www.ecequality.org,NOERROR,No,"164.163.74.82, 13.248.243.5, 76.223.105.230, 164.163.74.82, 164.163.74.82"
www.mnr.gov.cn,SERVFAIL,Sí,"164.163.74.82, 164.163.74.82, 164.163.74.82"
kickassclassical.com,NOERROR,No,"164.163.74.82, 164.163.74.82, 164.163.74.82"
www.getrevue.co,NOERROR,No,"164.163.74.82, 164.163.74.82, 164.163.74.82"
eltelescopio.com.uy,NOERROR,No,"164.163.74.82, 75.102.58.134, 164.163.74.82, 164.163.74.82"
ladiaria.com.uy,NOERROR,No,"164.163.74.82, 104.26.12.4, 104.26.13.4, 172.67.73.53, 164.163.74.82, 164.163.74.82"
plus.im,NOERROR,No,"164.163.74.82, 145.223.124.174, 164.163.74.82, 164.163.74.82"
www.xroxy.com,NOERROR,No,"164.163.74.82, 108.61.40.125, 108.61.40.123, 164.163.74.82, 164.163.74.82"
www.thegailygrind.com,NOERROR,No,"164.163.74.82, 147.79.72.151, 164.163.74.82, 164.163.74.82"
www.religioustolerance.org,SERVFAIL,Sí,"164.163.74.82, 164.163.74.82, 164.163.74.82"
www.ned.org,NOERROR,No,"164.163.74.82, 23.185.0.4, 164.163.74.82, 164.163.74.82"
www.nclrights.org,NOERROR,No,"164.163.74.82, 141.193.213.10, 141.193.213.11, 164.163.74.82, 164.163.74.82"
www.megaproxy.com,NOERROR,No,"164.163.74.82, 52.70.232.188, 164.163.74.82, 164.163.74.82"
www.lightsailvpn.com,NOERROR,No,"164.163.74.82, 76.223.54.146, 13.248.169.48, 164.163.74.82, 164.163.74.82"
www.lgbtimontevideo2016.org,NOERROR,No,"164.163.74.82, 213.158.85.35, 164.163.74.82, 164.163.74.82"
www.jhr.ca,NOERROR,No,"164.163.74.82, 104.21.112.1, 104.21.32.1, 104.21.96.1, 104.21.80.1, 104.21.64.1, 104.21.16.1, 104.21.48.1, 164.163.74.82, 164.163.74.82"
www.infomigrants.net,NOERROR,No,"164.163.74.82, 23.61.56.39, 164.163.74.82, 164.163.74.82"
www.ifge.org,NOERROR,No,"164.163.74.82, 66.96.133.1, 164.163.74.82, 164.163.74.82"
www.http-tunnel.com,NOERROR,No,"164.163.74.82, 104.21.59.195, 172.67.182.240, 164.163.74.82, 164.163.74.82"
www.haaretz.com,NOERROR,No,"164.163.74.82, 151.101.194.217, 151.101.130.217, 151.101.2.217, 151.101.66.217, 164.163.74.82, 164.163.74.82"
www.guerrillagirls.com,NOERROR,No,"164.163.74.82, 198.49.23.145, 198.185.159.145, 198.49.23.144, 198.185.159.144, 164.163.74.82, 164.163.74.82"
www.grindr.com,NOERROR,No,"164.163.74.82, 104.16.235.5, 104.16.234.5, 164.163.74.82, 164.163.74.82"
www.glil.org,NOERROR,No,"164.163.74.82, 103.224.182.253, 164.163.74.82, 164.163.74.82"
www.gearthblog.com,NOERROR,No,"164.163.74.82, 35.208.230.52, 164.163.74.82, 164.163.74.82"
www.gayscape.com,NOERROR,No,"164.163.74.82, 204.8.234.161, 164.163.74.82, 164.163.74.82"
www.freespeechcoalition.com,NOERROR,No,"164.163.74.82, 104.21.66.160, 172.67.205.109, 164.163.74.82, 164.163.74.82"
www.freespeech.com,NOERROR,No,"164.163.74.82, 104.26.4.73, 104.26.5.73, 172.67.73.106, 164.163.74.82, 164.163.74.82"
www.freeexpression.org,NOERROR,No,"164.163.74.82, 67.205.3.171, 164.163.74.82, 164.163.74.82"
www.eurobicon.org,NOERROR,No,"164.163.74.82, 168.119.181.46, 164.163.74.82, 164.163.74.82"
www.dopplr.com,NOERROR,No,"164.163.74.82, 50.87.144.195, 164.163.74.82, 164.163.74.82"
www.csidonline.org,NOERROR,No,"164.163.74.82, 188.165.51.93, 164.163.74.82, 164.163.74.82"
www.bicommunitynews.co.uk,NOERROR,No,"164.163.74.82, 185.151.30.190, 164.163.74.82, 164.163.74.82"
www.anonymizer.ru,NOERROR,No,"164.163.74.82, 213.174.158.135, 164.163.74.82, 164.163.74.82"
ultrasurf.us,NOERROR,No,"164.163.74.82, 172.67.137.144, 104.21.62.172, 164.163.74.82, 164.163.74.82"
sci.hubg.org,NOERROR,No,"164.163.74.82, 72.52.178.23, 164.163.74.82, 164.163.74.82"
medpot.net,NOERROR,No,"164.163.74.82, 104.21.51.243, 172.67.192.62, 164.163.74.82, 164.163.74.82"
www.petside.com,NOERROR,No,"164.163.74.82, 172.67.196.195, 104.21.21.59, 164.163.74.82, 164.163.74.82"
www.persecution.org,NOERROR,No,"164.163.74.82, 104.26.11.41, 172.67.69.69, 104.26.10.41, 164.163.74.82, 164.163.74.82"
www.judaismconversion.org,NOERROR,No,"164.163.74.82, 68.66.216.47, 164.163.74.82, 164.163.74.82, 164.163.74.82"
www.jesussaves.cc,NOERROR,No,"164.163.74.82, 216.126.196.23, 164.163.74.82, 164.163.74.82"
www.fark.com,NOERROR,No,"164.163.74.82, 104.21.82.150, 172.67.203.12, 164.163.74.82, 164.163.74.82"
www.exmormon.org,NOERROR,No,"164.163.74.82, 204.238.168.42, 164.163.74.82, 164.163.74.82"
www.earthaction.org,NOERROR,No,"164.163.74.82, 104.18.118.121, 104.18.114.121, 104.18.117.121, 104.18.115.121, 104.18.116.121, 164.163.74.82, 164.163.74.82"
www.copticchurch.net,NOERROR,No,"164.163.74.82, 172.67.182.247, 104.21.67.237, 164.163.74.82, 164.163.74.82"
www.cleanwateraction.org,NOERROR,No,"164.163.74.82, 23.185.0.3, 164.163.74.82, 164.163.74.82"
www.autistici.org,NOERROR,No,"164.163.74.82, 82.94.249.234, 198.167.222.108, 93.190.126.19, 164.163.74.82, 164.163.74.82"
noblogs.org,NOERROR,No,"164.163.74.82, 93.190.126.19, 82.94.249.234, 198.167.222.108, 164.163.74.82, 164.163.74.82"
www.mediafire.com,NOERROR,No,"164.163.74.82, 104.17.150.117, 104.17.151.117, 164.163.74.82, 164.163.74.82"
www.frc.org,NOERROR,No,"164.163.74.82, 64.196.237.41, 164.163.74.82, 164.163.74.82"
www.formercatholic.com,NOERROR,No,"164.163.74.82, 216.239.32.21, 164.163.74.82, 164.163.74.82"
www.atheists.org,NOERROR,No,"164.163.74.82, 172.67.74.103, 104.26.5.236, 104.26.4.236, 164.163.74.82, 164.163.74.82"
dns.google,NOERROR,No,"164.163.74.82, 8.8.8.8, 8.8.4.4, 164.163.74.82, 164.163.74.82"
doh.centraleu.pi-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,NXDOMAIN,Sí,"164.163.74.82, 164.163.74.82, 164.163.74.82"
www.phenoelit.org,SERVFAIL,Sí,"164.163.74.82, 164.163.74.82, 164.163.74.82"
unioncivica.org.uy,SERVFAIL,Sí,"164.163.74.82, 164.163.74.82, 164.163.74.82"
www.metacafe.com,SERVFAIL,Sí,"164.163.74.82, 164.163.74.82, 164.163.74.82"
www.appzplanet.com,NOERROR,No,"164.163.74.82, 74.63.241.26, 164.163.74.82, 164.163.74.82"
www.sbs.com.au/language/coronavirus?cid=infocus,NXDOMAIN,Sí,"164.163.74.82, 164.163.74.82, 164.163.74.82"
hackerspaces.org,NOERROR,No,"164.163.74.82, 212.12.52.48, 164.163.74.82, 164.163.74.82"
www.kcna.kp,NOERROR,No,"164.163.74.82, 175.45.177.1, 175.45.176.71, 164.163.74.82, 164.163.74.82"
www.solicitorsfromhell.com,NOERROR,No,"164.163.74.82, 13.248.169.48, 76.223.54.146, 164.163.74.82, 164.163.74.82"
www.sex.com,NOERROR,No,"164.163.74.82, 34.232.198.165, 3.219.221.100, 35.168.96.228, 164.163.74.82, 164.163.74.82"
nordvpn.com,NOERROR,No,"164.163.74.82, 104.16.208.203, 104.19.159.190, 164.163.74.82, 164.163.74.82"
www.xinhuanet.com,NOERROR,No,"164.163.74.82, 169.150.230.100, 98.96.212.203, 164.163.74.82, 164.163.74.82"
www.gawker.com,NOERROR,No,"164.163.74.82, 100.28.201.155, 34.234.106.80, 164.163.74.82, 164.163.74.82"
social.undernet.uy,NXDOMAIN,Sí,"164.163.74.82, 164.163.74.82, 164.163.74.82"
kiwifarms.net,NOERROR,No,"164.163.74.82, 207.5.194.234, 179.43.172.163, 185.231.102.62, 212.23.222.98, 185.225.114.106, 164.163.74.82, 164.163.74.82"
