Dominio,Status,Bloqueado,IPs_Resueltas
rojadirectatv.tv,NOERROR,No,"200.35.79.41, 52.223.39.56, 200.35.79.41, 200.35.79.41"
rojadirecta.me,NOERROR,No,"200.35.79.41, 52.223.39.56, 200.35.79.41, 200.35.79.41"
www.goldenpalace.com,NOERROR,No,"200.35.79.41, 188.166.140.34, 200.35.79.41, 200.35.79.41"
www.gambling.com,NOERROR,No,"200.35.79.41, 104.18.27.235, 104.18.26.235, 200.35.79.41, 200.35.79.41"
www.europacasino.com,NOERROR,No,"200.35.79.41, 172.66.47.70, 172.66.44.186, 200.35.79.41, 200.35.79.41"
www.eurogrand.com,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41"
www.casino.com,NOERROR,No,"200.35.79.41, 199.232.179.52, 200.35.79.41, 200.35.79.41"
www.casinotropez.com,NOERROR,No,"200.35.79.41, 104.21.80.1, 104.21.32.1, 104.21.96.1, 104.21.16.1, 104.21.112.1, 104.21.64.1, 104.21.48.1, 200.35.79.41, 200.35.79.41"
www.betfair.com,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41"
www.888casino.com,NOERROR,No,"200.35.79.41, 65.9.86.4, 65.9.86.83, 65.9.86.9, 65.9.86.44, 200.35.79.41, 200.35.79.41"
www.usacasino.com,NOERROR,No,"200.35.79.41, 217.19.248.132, 200.35.79.41, 200.35.79.41"
www.sportingbet.com,NOERROR,No,"200.35.79.41, 104.16.99.49, 104.16.100.49, 200.35.79.41, 200.35.79.41"
www.spinpalace.com,NOERROR,No,"200.35.79.41, 104.18.178.110, 104.18.179.110, 200.35.79.41, 200.35.79.41"
www.pokerstars.com,NOERROR,No,"200.35.79.41, 23.221.212.218, 23.221.212.216, 200.35.79.41, 200.35.79.41"
www.onlinegambling.com,NOERROR,No,"200.35.79.41, 104.19.185.101, 104.19.186.101, 200.35.79.41, 200.35.79.41"
www.wetplace.com,NOERROR,No,"200.35.79.41, 37.48.65.136, 200.35.79.41, 200.35.79.41"
ilga.org,NOERROR,No,"200.35.79.41, 104.26.2.128, 172.67.69.48, 104.26.3.128, 200.35.79.41, 200.35.79.41"
8kun.top,NOERROR,No,"200.35.79.41, 135.148.43.6, 77.73.68.181, 77.73.69.98, 200.35.79.41, 200.35.79.41"
archive.is,NOERROR,No,"200.35.79.41, 198.98.54.183, 200.35.79.41, 200.35.79.41"
www.privacyinternational.org,NOERROR,No,"200.35.79.41, 104.22.20.93, 172.67.5.244, 104.22.21.93, 200.35.79.41, 200.35.79.41"
www.nifty.org,NOERROR,No,"200.35.79.41, 67.205.61.97, 200.35.79.41, 200.35.79.41"
www.hrcr.org,NOERROR,No,"200.35.79.41, 172.67.132.57, 104.21.4.155, 200.35.79.41, 200.35.79.41"
www.imf.org,NOERROR,No,"200.35.79.41, 23.223.194.146, 23.223.194.144, 200.35.79.41, 200.35.79.41"
www.dailysabah.com,NOERROR,No,"200.35.79.41, 18.239.83.7, 18.239.83.61, 18.239.83.72, 18.239.83.98, 200.35.79.41, 200.35.79.41"
diariolajuventud.com,NOERROR,No,"200.35.79.41, 172.67.162.39, 104.21.15.100, 200.35.79.41, 200.35.79.41"
archive.ph,NOERROR,No,"200.35.79.41, 198.98.54.183, 200.35.79.41, 200.35.79.41"
www.securityfocus.com,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41"
www.stratcom.mil,NOERROR,No,"200.35.79.41, 23.223.194.146, 23.223.194.143, 200.35.79.41, 200.35.79.41"
www.guildwars.com,NOERROR,No,"200.35.79.41, 18.197.255.157, 18.159.122.214, 200.35.79.41, 200.35.79.41"
www.dailymail.co.uk,NOERROR,No,"200.35.79.41, 184.26.124.254, 200.35.79.41, 200.35.79.41"
www.honduras.com,NOERROR,No,"200.35.79.41, 18.239.50.103, 18.239.50.62, 18.239.50.17, 18.239.50.86, 200.35.79.41, 200.35.79.41"
wikidata.org,NOERROR,No,"200.35.79.41, 208.80.154.224, 200.35.79.41, 200.35.79.41"
www.itsyoursexlife.com,NOERROR,No,"200.35.79.41, 100.28.104.175, 54.157.108.158, 98.83.184.133, 200.35.79.41, 200.35.79.41"
www.jsf.mil,NOERROR,No,"200.35.79.41, 140.19.248.11, 200.35.79.41, 200.35.79.41"
dailystormer.name,NOERROR,No,"200.35.79.41, 172.67.137.29, 104.21.38.178, 200.35.79.41, 200.35.79.41"
www.pandora.com,NOERROR,No,"200.35.79.41, 199.116.164.229, 200.35.79.41, 200.35.79.41"
www.ruf-ch.org,NOERROR,No,"200.35.79.41, 104.21.48.1, 104.21.16.1, 104.21.112.1, 104.21.32.1, 104.21.96.1, 104.21.80.1, 104.21.64.1, 200.35.79.41, 200.35.79.41"
ikhwanonline.com,NOERROR,No,"200.35.79.41, 104.21.24.40, 172.67.216.195, 200.35.79.41, 200.35.79.41"
xe.com,NOERROR,No,"200.35.79.41, 18.65.39.71, 18.65.39.25, 18.65.39.72, 18.65.39.68, 200.35.79.41, 200.35.79.41"
www.bbm.com,NOERROR,No,"200.35.79.41, 74.82.86.0, 200.35.79.41, 200.35.79.41"
www.rt.com,NOERROR,No,"200.35.79.41, 91.215.41.4, 200.35.79.41, 200.35.79.41"
www.ecequality.org,NOERROR,No,"200.35.79.41, 76.223.105.230, 13.248.243.5, 200.35.79.41, 200.35.79.41"
www.mnr.gov.cn,UNKNOWN,No,200.35.79.41
kickassclassical.com,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41"
www.getrevue.co,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41"
eltelescopio.com.uy,NOERROR,No,"200.35.79.41, 75.102.58.134, 200.35.79.41, 200.35.79.41"
ladiaria.com.uy,NOERROR,No,"200.35.79.41, 172.67.73.53, 104.26.12.4, 104.26.13.4, 200.35.79.41, 200.35.79.41"
plus.im,NOERROR,No,"200.35.79.41, 147.79.120.140, 200.35.79.41, 200.35.79.41"
www.xroxy.com,NOERROR,No,"200.35.79.41, 108.61.40.125, 108.61.40.123, 200.35.79.41, 200.35.79.41"
www.thegailygrind.com,NOERROR,No,"200.35.79.41, 92.112.198.89, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.religioustolerance.org,UNKNOWN,No,200.35.79.41
www.ned.org,NOERROR,No,"200.35.79.41, 23.185.0.4, 200.35.79.41, 200.35.79.41"
www.nclrights.org,NOERROR,No,"200.35.79.41, 141.193.213.11, 141.193.213.10, 200.35.79.41, 200.35.79.41"
www.megaproxy.com,NOERROR,No,"200.35.79.41, 52.70.232.188, 200.35.79.41, 200.35.79.41"
www.lightsailvpn.com,NOERROR,No,"200.35.79.41, 76.223.54.146, 13.248.169.48, 200.35.79.41, 200.35.79.41"
www.lgbtimontevideo2016.org,NOERROR,No,"200.35.79.41, 213.158.85.35, 200.35.79.41, 200.35.79.41"
www.jhr.ca,NOERROR,No,"200.35.79.41, 104.21.96.1, 104.21.64.1, 104.21.48.1, 104.21.112.1, 104.21.80.1, 104.21.16.1, 104.21.32.1, 200.35.79.41, 200.35.79.41"
www.infomigrants.net,NOERROR,No,"200.35.79.41, 184.27.3.238, 200.35.79.41, 200.35.79.41"
www.ifge.org,NOERROR,No,"200.35.79.41, 66.96.133.1, 200.35.79.41, 200.35.79.41"
www.http-tunnel.com,NOERROR,No,"200.35.79.41, 172.67.182.240, 104.21.59.195, 200.35.79.41, 200.35.79.41"
www.haaretz.com,NOERROR,No,"200.35.79.41, 199.232.178.217, 200.35.79.41, 200.35.79.41"
www.guerrillagirls.com,NOERROR,No,"200.35.79.41, 198.49.23.145, 198.49.23.144, 198.185.159.145, 198.185.159.144, 200.35.79.41, 200.35.79.41"
www.grindr.com,NOERROR,No,"200.35.79.41, 104.16.234.5, 104.16.235.5, 200.35.79.41, 200.35.79.41"
www.glil.org,NOERROR,No,"200.35.79.41, 103.224.182.253, 200.35.79.41, 200.35.79.41"
www.gearthblog.com,NOERROR,No,"200.35.79.41, 35.208.230.52, 200.35.79.41, 200.35.79.41"
www.gayscape.com,NOERROR,No,"200.35.79.41, 204.8.234.161, 200.35.79.41, 200.35.79.41"
www.freespeechcoalition.com,NOERROR,No,"200.35.79.41, 172.67.205.109, 104.21.66.160, 200.35.79.41, 200.35.79.41"
www.freespeech.com,NOERROR,No,"200.35.79.41, 104.26.4.73, 104.26.5.73, 172.67.73.106, 200.35.79.41, 200.35.79.41"
www.freeexpression.org,NOERROR,No,"200.35.79.41, 67.205.3.171, 200.35.79.41, 200.35.79.41"
www.eurobicon.org,NOERROR,No,"200.35.79.41, 168.119.181.46, 200.35.79.41, 200.35.79.41"
www.dopplr.com,NOERROR,No,"200.35.79.41, 50.87.144.195, 200.35.79.41, 200.35.79.41"
www.csidonline.org,NOERROR,No,"200.35.79.41, 188.165.51.93, 200.35.79.41, 200.35.79.41"
www.bicommunitynews.co.uk,NOERROR,No,"200.35.79.41, 185.151.30.190, 200.35.79.41, 200.35.79.41"
www.anonymizer.ru,NOERROR,No,"200.35.79.41, 213.174.158.135, 200.35.79.41, 200.35.79.41"
ultrasurf.us,NOERROR,No,"200.35.79.41, 104.21.62.172, 172.67.137.144, 200.35.79.41, 200.35.79.41"
sci.hubg.org,NOERROR,No,"200.35.79.41, 72.52.178.23, 200.35.79.41, 200.35.79.41"
medpot.net,NOERROR,No,"200.35.79.41, 172.67.192.62, 104.21.51.243, 200.35.79.41, 200.35.79.41"
www.petside.com,NOERROR,No,"200.35.79.41, 172.67.196.195, 104.21.21.59, 200.35.79.41, 200.35.79.41"
www.persecution.org,NOERROR,No,"200.35.79.41, 104.26.11.41, 104.26.10.41, 172.67.69.69, 200.35.79.41, 200.35.79.41"
www.judaismconversion.org,NOERROR,No,"200.35.79.41, 68.66.216.47, 200.35.79.41, 200.35.79.41"
www.jesussaves.cc,NOERROR,No,"200.35.79.41, 216.126.196.23, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.fark.com,NOERROR,No,"200.35.79.41, 172.67.203.12, 104.21.82.150, 200.35.79.41, 200.35.79.41"
www.exmormon.org,NOERROR,No,"200.35.79.41, 204.238.168.42, 200.35.79.41, 200.35.79.41"
www.earthaction.org,NOERROR,No,"200.35.79.41, 104.18.117.121, 104.18.118.121, 104.18.116.121, 104.18.114.121, 104.18.115.121, 200.35.79.41, 200.35.79.41"
www.copticchurch.net,NOERROR,No,"200.35.79.41, 104.21.67.237, 172.67.182.247, 200.35.79.41, 200.35.79.41"
www.cleanwateraction.org,NOERROR,No,"200.35.79.41, 23.185.0.3, 200.35.79.41, 200.35.79.41"
www.autistici.org,NOERROR,No,"200.35.79.41, 198.167.222.108, 93.190.126.19, 82.94.249.234, 200.35.79.41, 200.35.79.41"
noblogs.org,NOERROR,No,"200.35.79.41, 198.167.222.108, 93.190.126.19, 82.94.249.234, 200.35.79.41, 200.35.79.41"
www.mediafire.com,NOERROR,No,"200.35.79.41, 104.17.151.117, 104.17.150.117, 200.35.79.41, 200.35.79.41"
www.frc.org,NOERROR,No,"200.35.79.41, 64.196.237.41, 200.35.79.41, 200.35.79.41"
www.formercatholic.com,NOERROR,No,"200.35.79.41, 216.239.32.21, 200.35.79.41, 200.35.79.41"
www.atheists.org,NOERROR,No,"200.35.79.41, 104.26.5.236, 104.26.4.236, 172.67.74.103, 200.35.79.41, 200.35.79.41"
dns.google,NOERROR,No,"200.35.79.41, 8.8.8.8, 8.8.4.4, 200.35.79.41, 200.35.79.41"
doh.centraleu.pi-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,NXDOMAIN,Sí,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.phenoelit.org,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
unioncivica.org.uy,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.metacafe.com,UNKNOWN,No,200.35.79.41
www.appzplanet.com,NOERROR,No,"200.35.79.41, 185.107.56.194, 200.35.79.41, 200.35.79.41"
