anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://regalamonedas.com/,2025-05-24T12:54:46Z,20250524125446.540715_VE_webconnectivity_ad9f79934b5540ce,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250524125446.540715_VE_webconnectivity_ad9f79934b5540ce,AS8048,VE,20250524T050602Z_webconnectivity_VE_8048_n1_ropBQaHQfDkcZ4QZ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_allzero', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://Saori.bet,2025-05-24T12:52:27Z,20250524125227.942688_VE_webconnectivity_d0e184ecfb5a7ba8,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250524125227.942688_VE_webconnectivity_d0e184ecfb5a7ba8,AS8048,VE,20250524T050602Z_webconnectivity_VE_8048_n1_ropBQaHQfDkcZ4QZ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.cleopatrabet.co/,2025-05-24T12:52:24Z,20250524125226.944204_VE_webconnectivity_92fac08d9bd7b9c4,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250524125226.944204_VE_webconnectivity_92fac08d9bd7b9c4,AS8048,VE,20250524T050602Z_webconnectivity_VE_8048_n1_ropBQaHQfDkcZ4QZ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.luckylanespins.com,2025-05-24T12:50:43Z,20250524125044.082552_VE_webconnectivity_0caf7c5b2dba1428,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250524125044.082552_VE_webconnectivity_0caf7c5b2dba1428,AS8048,VE,20250524T050602Z_webconnectivity_VE_8048_n1_ropBQaHQfDkcZ4QZ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.silverplay013.com,2025-05-24T12:49:40Z,20250524124941.980129_VE_webconnectivity_7c9f968a52375bd6,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250524124941.980129_VE_webconnectivity_7c9f968a52375bd6,AS8048,VE,20250524T050602Z_webconnectivity_VE_8048_n1_ropBQaHQfDkcZ4QZ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.thrillsy.com,2025-05-24T12:49:37Z,20250524124937.789466_VE_webconnectivity_77a02f5f443068a6,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250524124937.789466_VE_webconnectivity_77a02f5f443068a6,AS8048,VE,20250524T050602Z_webconnectivity_VE_8048_n1_ropBQaHQfDkcZ4QZ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_allzero', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://www.megafaraon.co,2025-05-24T12:46:10Z,20250524124610.720528_VE_webconnectivity_092ef394b6a79738,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250524124610.720528_VE_webconnectivity_092ef394b6a79738,AS8048,VE,20250524T050602Z_webconnectivity_VE_8048_n1_ropBQaHQfDkcZ4QZ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://redblackline.net/home,2025-05-24T12:42:40Z,20250524124242.234493_VE_webconnectivity_bec537cbf2661382,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250524124242.234493_VE_webconnectivity_bec537cbf2661382,AS8048,VE,20250524T050602Z_webconnectivity_VE_8048_n1_ropBQaHQfDkcZ4QZ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://pinkgame.net/sports.php,2025-05-24T12:42:01Z,20250524124202.005562_VE_webconnectivity_e67cf79db8b6f2aa,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250524124202.005562_VE_webconnectivity_e67cf79db8b6f2aa,AS8048,VE,20250524T050602Z_webconnectivity_VE_8048_n1_ropBQaHQfDkcZ4QZ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://pinkgame.net/,2025-05-24T12:41:59Z,20250524124200.766678_VE_webconnectivity_d0d0a18c9f5d57a6,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250524124200.766678_VE_webconnectivity_d0d0a18c9f5d57a6,AS8048,VE,20250524T050602Z_webconnectivity_VE_8048_n1_ropBQaHQfDkcZ4QZ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
